"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.427995700E-2,2.550748825E0,4.675575256E0,7.539783955E0
6.094662300E-2,2.486142635E0,4.914857864E0,7.743174076E0
7.761328900E-2,2.175075769E0,4.754538536E0,8.020741463E0
9.427995500E-2,2.175075769E0,4.754538536E0,8.020741463E0
1.109466210E-1,2.376072884E0,4.563112736E0,8.508877754E0
1.276132870E-1,2.596212626E0,4.627718925E0,8.441878319E0
1.442799530E-1,2.744567633E0,4.663611412E0,8.319844246E0
1.609466190E-1,2.691925526E0,4.591826439E0,8.090133667E0
1.776132850E-1,2.749353170E0,4.637290478E0,8.092526436E0
1.942799510E-1,2.739781857E0,4.713860512E0,8.327022552E0
2.109466170E-1,2.780459881E0,4.740181446E0,8.417949677E0
2.276132830E-1,2.761317253E0,4.737788677E0,8.429914474E0
2.442799490E-1,2.730210543E0,4.733003139E0,8.523234367E0
2.609466150E-1,2.610569477E0,4.637290478E0,8.403593063E0
2.776132810E-1,2.478964329E0,4.553541660E0,8.264809608E0
2.942799470E-1,2.270788670E0,4.570291042E0,8.204988480E0
3.109466130E-1,2.333002090E0,4.570291042E0,8.283951759E0
3.276132790E-1,2.371287346E0,4.591826439E0,8.334200859E0
3.442799450E-1,2.488535643E0,4.661218643E0,8.554341316E0
3.609466110E-1,2.739781857E0,4.744967461E0,9.030512810E0
3.776132770E-1,2.952743053E0,4.809573650E0,9.310472488E0
3.942799430E-1,2.842673302E0,4.855037212E0,9.217152596E0
4.109466090E-1,2.567498684E0,4.857429981E0,8.762516975E0
4.276132750E-1,2.433500528E0,4.742574692E0,8.733802795E0
4.442799410E-1,2.555534601E0,4.795216560E0,9.387042999E0
4.609466070E-1,2.519642353E0,4.520041943E0,1.063370419E1
4.776132730E-1,1.732403636E0,4.350151539E0,1.115055370E1
4.942799390E-1,1.406979680E0,5.307280540E0,9.700503349E0
5.109466050E-1,1.885544300E0,4.819144726E0,9.726823807E0
5.276132710E-1,3.086741269E-1,4.579862595E0,7.896314621E0
5.442799370E-1,4.450650215E-1,4.771288395E0,8.116454124E0
5.609466030E-1,-1.890329868E-1,4.567898273E0,8.475378036E0
5.776132690E-1,-8.087740541E-1,4.472185612E0,8.195417404E0
5.942799350E-1,-1.249053478E0,4.390829563E0,8.054241180E0
6.109466010E-1,-1.828116536E0,4.103690624E0,8.104490280E0
6.276132670E-1,-2.605783939E0,3.560520172E0,8.910871506E0
6.442799330E-1,-2.108076811E0,4.309473515E0,8.394021988E0
6.609465990E-1,-2.069791555E0,4.699503899E0,8.116454124E0
6.776132650E-1,-1.588834286E0,4.778466702E0,8.238488197E0
6.942799310E-1,-1.418943882E0,4.577469826E0,8.941978455E0
7.109465970E-1,3.572484255E0,5.065605640E0,6.417550564E0
7.276132630E-1,2.639283419E0,7.006184578E0,5.539384365E0
7.442799290E-1,4.905286431E-1,6.522834301E0,7.477570534E0
7.609465950E-1,-1.627119333E-1,5.175675392E0,7.010970116E0
7.776132610E-1,-2.036292076E0,4.230510235E0,7.822137356E0
7.942799270E-1,-2.483749866E0,4.859822750E0,7.767102242E0
8.109465930E-1,-1.543370605E0,4.922036171E0,8.214560509E0
8.276132590E-1,-1.074377418E0,5.467599869E0,8.001599312E0
8.442799250E-1,-1.143769264E0,5.151747227E0,8.566305161E0
8.609465910E-1,-1.148554921E0,5.493920803E0,8.171489716E0
8.776132570E-1,-6.987041831E-1,5.749952793E0,8.480163574E0
8.942799230E-1,-7.609176040E-1,5.752345562E0,8.638090134E0
9.109465890E-1,6.699903309E-2,6.178267956E0,8.405985832E0
9.276132550E-1,4.881358147E-1,6.288337708E0,8.204988480E0
9.442799210E-1,6.747759581E-1,6.058627129E0,8.267202377E0
9.609465870E-1,1.292124242E-1,5.680561066E0,8.386843681E0
9.776132530E-1,-1.098305583E0,4.883750916E0,7.834101200E0
9.942799190E-1,-1.564906001E0,4.555934429E0,8.274380684E0
1.010946585E0,-1.648654819E0,4.905286312E0,8.762516975E0
1.027613251E0,-1.564906001E0,4.962714195E0,9.049654961E0
1.044279917E0,-6.245267391E-1,5.391029358E0,9.343972206E0
1.060946583E0,2.392822644E-3,5.592026711E0,8.841479301E0
