"Time (s)","Pressure (hPa)"
1.877076660E-1,1.008419373E3
2.276968330E-1,1.008419128E3
2.676967810E-1,1.008417908E3
3.076977180E-1,1.008411560E3
3.476966250E-1,1.008408142E3
3.877360000E-1,1.008404480E3
4.277018850E-1,1.008411560E3
4.677077180E-1,1.008421814E3
5.077014680E-1,1.008443542E3
5.477007910E-1,1.008439392E3
5.879420410E-1,1.008432068E3
6.277004270E-1,1.008414734E3
6.677062080E-1,1.008405457E3
7.078483430E-1,1.008412537E3
7.478558950E-1,1.008405701E3
7.876972500E-1,1.008405945E3
8.276971450E-1,1.008398865E3
8.676976660E-1,1.008398865E3
9.077676660E-1,1.008396667E3
9.476970410E-1,1.008395447E3
9.877152700E-1,1.008402771E3
1.027793760E0,1.008406189E3
1.067710114E0,1.008410339E3
1.107707822E0,1.008406677E3
1.147702093E0,1.008403015E3
1.187696937E0,1.008405212E3
1.227692197E0,1.008413269E3
1.267695062E0,1.008407654E3
1.307693031E0,1.008405701E3
1.347692666E0,1.008408875E3
1.387692093E0,1.008413757E3
1.427696052E0,1.008422302E3
1.467694333E0,1.008424255E3
1.508196781E0,1.008426453E3
1.547705166E0,1.008424255E3
1.587692145E0,1.008425476E3
1.627692406E0,1.008422302E3
1.667692458E0,1.008425720E3
1.707691729E0,1.008422058E3
1.747704385E0,1.008424744E3
1.787691937E0,1.008423279E3
1.827692666E0,1.008419373E3
2.065140314E0,1.008449402E3
2.105135991E0,1.008445984E3
2.145131460E0,1.008447449E3
2.185153856E0,1.008448425E3
2.225131095E0,1.008450134E3
2.265137293E0,1.008443054E3
2.305135366E0,1.008439392E3
2.345135939E0,1.008443787E3
2.385131408E0,1.008433044E3
2.425136251E0,1.008427673E3
2.465134637E0,1.008424011E3
2.505131824E0,1.008421570E3
2.545137033E0,1.008422791E3
2.585131043E0,1.008421082E3
2.625132085E0,1.008423279E3
2.665131668E0,1.008429138E3
2.705135366E0,1.008429382E3
2.745192293E0,1.008422058E3
2.785138491E0,1.008429626E3
2.825150001E0,1.008430603E3
2.865133699E0,1.008428894E3
2.905134376E0,1.008433533E3
2.945136720E0,1.008437195E3
2.985150262E0,1.008431091E3
3.025135939E0,1.008440857E3
3.065143439E0,1.008442322E3
3.105132085E0,1.008450378E3
3.145133751E0,1.008448181E3
3.185134793E0,1.008446716E3
3.225138022E0,1.008442322E3
3.265131303E0,1.008439148E3
3.305137293E0,1.008443054E3
3.345137189E0,1.008453552E3
3.385131824E0,1.008443787E3
3.425131668E0,1.008445740E3
3.465135418E0,1.008447937E3
3.505147501E0,1.008447449E3
3.545150001E0,1.008443054E3
3.585150522E0,1.008441833E3
3.625134324E0,1.008441589E3
3.665270939E0,1.008433289E3
3.705131616E0,1.008427673E3
3.745136199E0,1.008424988E3
3.785136043E0,1.008427429E3
3.825428387E0,1.008427185E3
3.865131720E0,1.008430115E3
3.905131095E0,1.008424011E3
3.945131981E0,1.008429871E3
3.985141251E0,1.008435730E3
4.025131512E0,1.008438416E3
4.065130939E0,1.008439636E3
4.105266928E0,1.008444031E3
4.145131512E0,1.008443298E3
4.185134689E0,1.008452576E3
4.225131199E0,1.008454285E3
4.265461199E0,1.008458679E3
4.305356512E0,1.008460388E3
4.345134012E0,1.008450134E3
4.385130626E0,1.008447205E3
4.425132658E0,1.008449402E3
4.465131095E0,1.008450134E3
4.505132137E0,1.008447449E3
4.545125783E0,1.008449646E3
4.585135887E0,1.008443787E3
4.625140939E0,1.008443054E3
4.665140158E0,1.008444031E3
4.705128803E0,1.008446960E3
4.745126460E0,1.008450378E3
4.785131668E0,1.008459900E3
4.825129376E0,1.008461609E3
4.865397710E0,1.008456726E3
4.905140418E0,1.008456970E3
4.945130470E0,1.008451111E3
4.985137814E0,1.008454773E3
5.025128439E0,1.008446960E3
5.065130053E0,1.008452332E3
5.105126251E0,1.008455017E3
5.145311460E0,1.008455261E3
5.185130731E0,1.008450134E3
5.225143543E0,1.008444763E3
5.265132814E0,1.008460388E3
5.305355001E0,1.008467468E3
5.345126199E0,1.008463318E3
5.385127345E0,1.008463562E3
5.425126147E0,1.008466003E3
5.465142606E0,1.008463318E3
5.505127293E0,1.008467957E3
5.545138595E0,1.008467224E3
5.585126251E0,1.008468201E3
5.625311668E0,1.008468689E3
5.665143022E0,1.008462830E3
5.705139637E0,1.008460388E3
5.745127658E0,1.008459900E3
5.785444689E0,1.008457703E3
5.825143231E0,1.008452576E3
5.865126356E0,1.008447693E3
5.905127553E0,1.008445007E3
5.945135939E0,1.008434021E3
5.985126356E0,1.008420593E3
6.025126616E0,1.008418396E3
6.065125731E0,1.008413757E3
6.105127397E0,1.008419373E3
6.145130001E0,1.008416443E3
6.185126928E0,1.008419861E3
6.225225470E0,1.008418152E3
6.265130210E0,1.008413269E3
6.305130158E0,1.008404968E3
6.345133908E0,1.008391541E3
6.385419272E0,1.008374207E3
6.425142710E0,1.008388611E3
6.465125314E0,1.008407166E3
6.505253856E0,1.008429382E3
6.545136824E0,1.008444031E3
6.585131356E0,1.008438904E3
6.625138543E0,1.008435730E3
6.665126512E0,1.008423767E3
6.705126460E0,1.008416199E3
6.745126668E0,1.008412781E3
6.785135835E0,1.008405212E3
6.825126512E0,1.008411560E3
6.865130731E0,1.008415955E3
6.905126147E0,1.008412537E3
6.945801043E0,1.008413757E3
6.985132345E0,1.008485291E3
7.025126616E0,1.008527527E3
7.065129428E0,1.008542664E3
7.105126095E0,1.008548523E3
7.145133491E0,1.008583191E3
7.185135470E0,1.008603210E3
7.225139324E0,1.008640808E3
7.265155626E0,1.008641785E3
7.305128335E0,1.008586365E3
7.345556824E0,1.008569031E3
7.385126564E0,1.008528992E3
7.425525678E0,1.008490173E3
7.465133074E0,1.008526062E3
7.505134220E0,1.008633972E3
