"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.004672800E-2,-1.111773923E-1,2.228129357E-1,-4.115701467E-2
8.671339400E-2,-1.111773923E-1,2.228129357E-1,-4.115701467E-2
1.033800600E-1,-1.111773923E-1,2.228129357E-1,-4.115701467E-2
1.200467260E-1,1.710421406E-2,1.679878100E-3,-4.505127668E-3
1.367133920E-1,6.719512399E-3,1.146898642E-1,-1.977674663E-2
1.533800580E-1,1.282816008E-2,1.488982886E-1,-3.749182448E-2
1.700467240E-1,-7.330377586E-3,1.226311028E-1,-2.771798894E-2
1.867133900E-1,-3.115410358E-2,1.012508348E-1,-8.170315996E-3
2.033800560E-1,-4.276053607E-2,8.414662629E-2,2.214384731E-3
2.200467220E-1,-6.291907281E-2,9.758564830E-2,-1.450803829E-3
2.367133880E-1,-8.246674389E-2,1.293506175E-1,-1.000291109E-2
2.533800540E-1,-8.491020650E-2,1.861610413E-1,-2.099847607E-2
2.700467200E-1,-9.590577334E-2,2.228129357E-1,-1.550069358E-2
2.867133860E-1,-1.032361463E-1,2.380845547E-1,8.933897130E-3
3.033800520E-1,-1.069013327E-1,2.197586000E-1,4.314232618E-2
3.200467180E-1,-7.880155742E-2,1.562286615E-1,4.619665071E-2
3.367133840E-1,-5.070177838E-2,9.392046183E-2,3.520108387E-2
3.533800500E-1,-1.160643063E-2,8.597921580E-2,-2.672533505E-3
3.700467160E-1,7.757982612E-2,1.293506175E-1,-6.436987966E-2
3.867133820E-1,1.820377111E-1,1.928805560E-1,-1.321758628E-1
4.033800480E-1,2.333503515E-1,2.710712552E-1,-1.724929363E-1
4.200467140E-1,1.899789423E-1,3.730856776E-1,-1.816559136E-1
4.367133800E-1,1.172860414E-1,5.233584046E-1,-1.755472720E-1
4.533800460E-1,1.606574357E-1,7.041743994E-1,-2.158643454E-1
4.700467120E-1,3.023780584E-1,1.052367330E0,-1.468366235E-1
4.867133780E-1,4.416552484E-1,1.426216602E0,-1.183550525E-2
5.033800440E-1,4.007273018E-1,1.797622323E0,5.879573524E-3
5.200467100E-1,2.217439115E-1,2.317468166E0,1.565340906E-2
5.367133760E-1,-8.857539296E-2,2.649778605E0,1.433241516E-1
5.533800420E-1,-1.423314959E-1,2.671159029E0,1.506545246E-1
5.700467080E-1,-1.007926911E-1,2.615570307E0,2.435059696E-1
5.867133740E-1,-3.176496923E-2,2.383441687E0,3.662897944E-1
6.033800400E-1,1.832594350E-2,2.156810760E0,5.073995590E-1
6.200467060E-1,3.298669681E-2,1.975383997E0,7.059305906E-1
6.367133720E-1,1.710421443E-1,1.806174397E0,9.557743073E-1
6.533800380E-1,2.657261789E-1,1.539837360E0,1.053512692E0
6.700467040E-1,3.115410507E-1,1.344971538E0,1.105436206E0
6.867133700E-1,3.958403766E-1,1.102458239E0,1.102992773E0
7.033800360E-1,4.563159943E-1,1.122005939E0,1.143920660E0
7.200467020E-1,2.663370371E-1,1.178205490E0,7.810669541E-1
7.367133680E-1,2.144135386E-1,3.767508566E-1,3.540725112E-1
7.533800340E-1,2.247982323E-1,1.391244531E-1,2.917642891E-1
7.700467000E-1,5.192350596E-2,2.367101051E-2,3.027598560E-1
7.867133660E-1,9.162971750E-3,3.894263133E-2,5.183951259E-1
8.033800320E-1,-7.208204269E-2,4.505127668E-2,6.130791903E-1
8.200466980E-1,-1.368337125E-1,1.146898642E-1,5.648208261E-1
8.367133640E-1,-1.685986817E-1,1.550069451E-1,4.854084253E-1
8.533800300E-1,-1.502727419E-1,1.971566081E-1,4.799106419E-1
8.700466960E-1,-1.441640854E-1,6.398808211E-2,4.805215001E-1
8.867133620E-1,-1.105665267E-1,7.315105945E-2,4.713585377E-1
9.033800280E-1,-4.703658819E-2,2.611446939E-2,4.371501207E-1
9.200466940E-1,-1.832594350E-2,-1.970038936E-2,2.948186100E-1
9.367133600E-1,-1.160643063E-2,-5.818486959E-2,9.873101860E-2
9.533800260E-1,-5.803215504E-2,-5.696314201E-2,-1.034652218E-1
9.700466920E-1,-1.392771751E-1,1.281288862E-1,-1.828776449E-1
9.867133580E-1,-2.834412456E-1,2.961167097E-1,-5.826122686E-2
1.003380024E0,-2.321286201E-1,2.313650399E-1,7.490729541E-2
1.020046690E0,-7.147117704E-2,7.070759684E-2,1.585957706E-1
1.036713356E0,1.215620935E-1,-2.188423127E-1,2.184605151E-1
1.053380022E0,3.316995800E-1,-4.906771481E-1,1.109483168E-1
1.070046688E0,3.048215210E-1,-3.275762498E-1,-4.176788032E-2
1.086713354E0,-8.552107215E-2,-9.926552884E-3,-6.559160352E-2
1.103380020E0,-1.814268380E-1,1.421787739E-1,-4.970912263E-2
1.120046686E0,-1.123991162E-1,5.299251899E-2,1.078939885E-1
1.136713352E0,7.330377586E-3,-2.275471389E-2,3.595702946E-1
1.153380018E0,8.124501258E-2,-1.327103674E-1,3.168097436E-1
1.170046684E0,4.337139800E-2,-3.863719851E-2,4.008800164E-2
1.186713350E0,-1.966984570E-1,1.623373181E-1,-1.950949430E-1
1.203380016E0,-2.651153207E-1,2.454149276E-1,-3.557523787E-1
1.220046682E0,-3.182605505E-1,3.156643808E-1,-4.137845337E-1
1.236713348E0,-2.638935745E-1,2.356410921E-1,-4.290561378E-1
1.253380014E0,-9.590577334E-2,1.525634825E-1,-3.276526034E-1
1.270046680E0,-4.886918236E-3,9.697478265E-2,-1.731038094E-1
1.286713346E0,4.642572254E-2,1.091920808E-1,-2.867246568E-1
1.303380012E0,-4.886918236E-3,1.855501831E-1,-1.584430486E-1
1.320046678E0,-6.475166976E-2,2.142608166E-1,-1.052978188E-1
1.336713344E0,-8.674279600E-2,1.696676910E-1,-2.099847607E-2
1.353380010E0,-6.047561392E-2,7.987056673E-2,8.040507883E-2
1.370046676E0,3.420842811E-2,1.145371422E-2,1.995237023E-1
1.386713342E0,1.295033395E-1,-1.406516135E-1,1.842520833E-1
1.403380008E0,1.288924664E-1,-1.632536054E-1,1.097265854E-1
1.420046674E0,4.214967042E-2,-1.137735620E-1,2.054032870E-2
1.436713340E0,-6.230820715E-2,-2.580903657E-2,-6.192641705E-2
1.453380006E0,-1.233946830E-1,3.955349326E-2,-6.436987966E-2
1.470046672E0,-9.101885557E-2,1.256854236E-1,-1.794415340E-2
1.486713338E0,-6.719512399E-3,1.018617004E-1,2.214384731E-3
1.503380004E0,8.429934084E-2,9.025526792E-2,2.787070535E-2
1.520046670E0,9.834922850E-2,3.512472380E-3,1.809686981E-2
1.536713336E0,4.214967042E-2,-2.397644334E-2,-2.283107117E-2
1.553380002E0,-3.176496923E-2,4.993819445E-2,-2.955058403E-2
1.570046668E0,-5.009091273E-2,4.016435891E-2,-3.382663801E-2
1.586713334E0,-3.726275265E-2,-6.261364091E-3,-1.122464053E-2
1.603380000E0,-1.832594350E-2,-2.947422490E-2,1.809686981E-2
1.620046666E0,-4.276053514E-3,-2.703076601E-2,3.092502989E-2
1.636713332E0,1.343902480E-2,-7.483093534E-3,2.970330045E-2
1.653379998E0,2.076940238E-2,6.566796452E-3,1.015562657E-2
