"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
7.899255500E-2,9.658646501E-1,2.324617058E-1,-1.033062935E-1,-4.893713072E-2,3.002707369E1,2.780824015E1,-1.018387671E1,-8.328290557E0
9.572640900E-2,9.647642642E-1,2.365234792E-1,-1.042159647E-1,-4.925028980E-2,3.051004450E1,2.830720031E1,-1.024105861E1,-8.433736070E0
1.124602110E-1,9.641751024E-1,2.396255583E-1,-1.034116223E-1,-4.745524377E-2,3.076559027E1,2.864873030E1,-1.017590562E1,-8.240293790E0
1.291940130E-1,9.641135771E-1,2.409468144E-1,-1.013950035E-1,-4.635403305E-2,3.079215716E1,2.876849941E1,-9.972465208E0,-8.068878081E0
1.459278150E-1,9.643427644E-1,2.411937118E-1,-9.871416539E-2,-4.608839005E-2,3.069307916E1,2.875969993E1,-9.680629398E0,-7.959922593E0
1.626616690E-1,9.646493034E-1,2.418979108E-1,-9.552339464E-2,-4.257233068E-2,3.056007192E1,2.877160133E1,-9.421539419E0,-7.475576952E0
1.793954710E-1,9.648603647E-1,2.418939769E-1,-9.322441369E-2,-4.290674999E-2,3.046816295E1,2.874527516E1,-9.156942517E0,-7.443581173E0
1.961292740E-1,9.649693284E-1,2.421385497E-1,-9.140033275E-2,-4.300113022E-2,3.042060744E1,2.875269324E1,-8.950005098E0,-7.401473354E0
2.128631280E-1,9.647548911E-1,2.433155328E-1,-9.040168673E-2,-4.327917099E-2,3.051412637E1,2.888279019E1,-8.822270909E0,-7.413334440E0
2.295969300E-1,9.642971200E-1,2.455589026E-1,-8.978132904E-2,-4.208565876E-2,3.071283618E1,2.913266591E1,-8.770832357E0,-7.281334386E0
2.463307320E-1,9.637696936E-1,2.475309074E-1,-8.997214586E-2,-4.220711440E-2,3.094023765E1,2.937078277E1,-8.773556353E0,-7.318694273E0
2.630645860E-1,9.632856595E-1,2.490735203E-1,-9.032318741E-2,-4.341476038E-2,3.114750491E1,2.956850531E1,-8.765289545E0,-7.478605186E0
