"Time (s)","Pressure (hPa)"
1.650738050E-1,1.005007507E3
2.050777630E-1,1.004997742E3
2.450727110E-1,1.004998230E3
2.850889610E-1,1.005000427E3
3.250738570E-1,1.005003601E3
3.650754190E-1,1.004999939E3
4.050733360E-1,1.004993591E3
4.450885440E-1,1.004992371E3
4.850735440E-1,1.004986511E3
5.250760960E-1,1.004982361E3
5.651160440E-1,1.004979187E3
6.050868260E-1,1.004977234E3
6.450977110E-1,1.004979431E3
6.850744820E-1,1.004986023E3
7.250923990E-1,1.004986511E3
7.650949510E-1,1.004990173E3
8.050741170E-1,1.004988220E3
8.452805240E-1,1.004990906E3
8.850853670E-1,1.004993347E3
9.250687530E-1,1.004997498E3
9.650739610E-1,1.004996765E3
1.005078753E0,1.005001648E3
1.045068753E0,1.005005310E3
1.085082763E0,1.005016785E3
1.125071409E0,1.005017029E3
1.165068649E0,1.005023132E3
1.205084586E0,1.005071960E3
1.245068961E0,1.005106628E3
1.285074794E0,1.005120544E3
1.325082711E0,1.005114929E3
1.365081461E0,1.005108582E3
1.405068753E0,1.005118347E3
1.445068649E0,1.005122498E3
1.485072763E0,1.005116394E3
1.525068284E0,1.005116150E3
1.565071565E0,1.005124451E3
1.605077138E0,1.005118835E3
1.645082503E0,1.005106628E3
1.685071878E0,1.005098083E3
1.725068701E0,1.005102722E3
1.765069169E0,1.005104431E3
1.805068701E0,1.005097839E3
1.845085055E0,1.005083191E3
1.885075471E0,1.005071716E3
1.925074638E0,1.005051697E3
1.965071617E0,1.005015320E3
2.005072971E0,1.004983826E3
2.045073596E0,1.004950623E3
2.085068961E0,1.004923035E3
2.125070003E0,1.004894714E3
2.165068388E0,1.004876648E3
2.205074690E0,1.004862976E3
2.245095367E0,1.004859802E3
2.285069169E0,1.004849060E3
2.325534638E0,1.004826599E3
2.365068544E0,1.004820251E3
2.405070524E0,1.004838318E3
2.445068440E0,1.004876892E3
2.485069274E0,1.004913025E3
2.525087346E0,1.004945740E3
2.565085732E0,1.004973083E3
2.605072034E0,1.004998718E3
2.645268805E0,1.005013855E3
2.685068753E0,1.004994080E3
2.725068388E0,1.004982605E3
2.765071826E0,1.004977234E3
2.805116774E0,1.004966248E3
2.845068492E0,1.004976013E3
2.885068180E0,1.004986023E3
2.925071357E0,1.004985779E3
2.965069690E0,1.004985535E3
3.005072659E0,1.004982361E3
3.045072399E0,1.004986023E3
3.085068909E0,1.004996521E3
3.125237815E0,1.005007751E3
3.165071617E0,1.004999939E3
3.205071930E0,1.005007507E3
3.245071357E0,1.005007019E3
3.285601826E0,1.005011658E3
3.325072503E0,1.005016052E3
3.365068076E0,1.005014832E3
3.405074899E0,1.005010193E3
3.445641096E0,1.005000671E3
3.485068544E0,1.004995789E3
3.525072346E0,1.004991638E3
3.565072555E0,1.004994568E3
3.605083284E0,1.004989441E3
3.645080940E0,1.004989929E3
3.685411826E0,1.004985535E3
3.725076565E0,1.004979431E3
3.765099690E0,1.004978699E3
3.805073961E0,1.004968201E3
3.845307242E0,1.004969910E3
3.885069013E0,1.004972107E3
3.925072503E0,1.004969910E3
3.965071357E0,1.004966736E3
4.005075367E0,1.004976990E3
4.045081201E0,1.004972351E3
4.085081721E0,1.004982605E3
4.125083492E0,1.004990417E3
4.165068909E0,1.005000183E3
4.205070211E0,1.005002625E3
4.245142138E0,1.005006775E3
4.285092867E0,1.005017761E3
4.325069117E0,1.005012146E3
4.365072138E0,1.005018005E3
4.405069586E0,1.005008240E3
4.445073024E0,1.005009705E3
4.485071461E0,1.005012634E3
4.525069117E0,1.005007996E3
4.565070003E0,1.005004089E3
4.605068492E0,1.005006775E3
4.645069430E0,1.005004578E3
4.685069586E0,1.005003845E3
4.725073180E0,1.005005554E3
4.765069065E0,1.005001648E3
4.805068649E0,1.005006287E3
4.845069169E0,1.005004822E3
4.885068649E0,1.005019714E3
4.925069326E0,1.005009949E3
4.965082503E0,1.004997498E3
5.005068701E0,1.004992371E3
5.045068284E0,1.004995544E3
5.085069117E0,1.004996033E3
5.125068649E0,1.004998230E3
5.165068909E0,1.005000916E3
5.205071253E0,1.004995789E3
5.245069117E0,1.004987488E3
5.285071617E0,1.004985046E3
5.325068961E0,1.004992859E3
5.365068596E0,1.004999939E3
5.405077138E0,1.005003113E3
5.445068388E0,1.005004578E3
5.485249065E0,1.005015076E3
5.525069482E0,1.005018494E3
5.565068232E0,1.005012390E3
5.605072346E0,1.005027527E3
5.645071044E0,1.005055847E3
5.685082555E0,1.005065613E3
