"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.197229400E-2,9.332008362E-1,5.883950710E0,8.652446747E0
4.863896000E-2,9.332008362E-1,5.883950710E0,8.652446747E0
6.530562600E-2,9.332008362E-1,5.883950710E0,8.652446747E0
8.197229200E-2,1.119840980E0,5.929414749E0,7.401000500E0
9.863895800E-2,1.363908887E0,6.159125328E0,7.410571575E0
1.153056240E-1,1.292124271E0,6.128018856E0,7.621140003E0
1.319722900E-1,1.359123230E0,5.977271080E0,7.829315662E0
1.486389560E-1,1.430907965E0,6.025127411E0,8.106883049E0
1.653056220E-1,1.342373490E0,6.022734642E0,8.197810173E0
1.819722880E-1,1.366301775E0,6.027520180E0,8.030312538E0
1.986389540E-1,1.244267821E0,5.953342915E0,7.982456207E0
2.153056200E-1,1.124626637E0,5.931807518E0,8.020741463E0
2.319722860E-1,1.215553880E0,5.927021503E0,8.183453560E0
2.486389520E-1,1.294517040E0,5.965306759E0,8.286344528E0
2.653056180E-1,1.272981644E0,5.919843197E0,8.243273735E0
2.819722840E-1,1.289731383E0,5.970092297E0,8.073383331E0
2.986389500E-1,1.359123230E0,5.989234924E0,8.080561638E0
3.153056160E-1,1.409372568E0,5.974878311E0,7.869993687E0
3.319722820E-1,1.395015597E0,5.994020939E0,7.735995770E0
3.486389480E-1,1.509871125E0,6.082555294E0,7.922635555E0
3.653056140E-1,1.512263894E0,6.082555294E0,7.989634991E0
3.819722800E-1,1.560120344E0,6.005984783E0,8.090133667E0
3.986389460E-1,1.318445325E0,6.034698486E0,8.078168869E0
4.153056120E-1,1.454836130E0,5.994020939E0,7.944170952E0
4.319722780E-1,1.607976794E0,6.037091732E0,8.070990562E0
4.486389440E-1,1.567298889E0,6.319444656E0,8.011170387E0
4.653056100E-1,1.215553880E0,6.218945980E0,7.910671711E0
4.819722760E-1,1.215553880E0,6.027520180E0,7.795815945E0
4.986389420E-1,1.593619823E0,6.266802311E0,7.738388538E0
5.153056080E-1,1.466800332E0,6.300302029E0,7.824530125E0
5.319722740E-1,1.339980721E0,6.199803352E0,7.628318787E0
5.486389400E-1,1.730010748E0,6.424728870E0,7.829315662E0
5.653056060E-1,1.569691658E0,6.360122681E0,7.838887215E0
5.819722720E-1,1.447657704E0,6.197410583E0,7.826922894E0
5.986389380E-1,1.337587833E0,6.345765591E0,7.925028801E0
6.153056040E-1,1.799402595E0,6.367300987E0,7.977670670E0
6.319722700E-1,1.730010748E0,6.271588326E0,7.879564762E0
6.486389360E-1,1.684547186E0,6.350551128E0,7.542177200E0
6.653056020E-1,1.581655741E0,6.266802311E0,7.458428383E0
6.819722680E-1,1.447657704E0,6.412764549E0,7.518248558E0
6.986389340E-1,1.646261930E0,6.534798622E0,7.680960655E0
7.153056000E-1,1.782652855E0,6.541976929E0,7.791030407E0
7.319722660E-1,1.670190215E0,6.539584160E0,7.453642368E0
7.486389320E-1,1.430907965E0,6.577869415E0,7.269395351E0
7.653055980E-1,1.500299811E0,6.463014126E0,7.202396393E0
7.819722640E-1,1.720439434E0,6.477370739E0,7.384250641E0
7.986389300E-1,2.194218397E0,6.628118515E0,7.901100159E0
8.153055960E-1,1.823330879E0,6.534798622E0,7.814958572E0
8.319722620E-1,1.665404558E0,6.357729912E0,7.843672752E0
8.486389280E-1,1.801795483E0,6.506084919E0,7.633104324E0
8.653055940E-1,1.746760488E0,6.597012043E0,7.259823799E0
8.819722600E-1,1.777867198E0,6.680760860E0,7.345965385E0
8.986389260E-1,1.770688772E0,6.695117950E0,7.432106972E0
9.153055920E-1,1.852044702E0,6.671189308E0,7.458428383E0
9.319722580E-1,1.823330879E0,6.556334019E0,7.539783955E0
9.486389240E-1,1.722832322E0,6.570691109E0,7.645068169E0
9.653055900E-1,1.741974831E0,6.546762943E0,7.515855789E0
9.819722560E-1,1.682154298E0,6.448657036E0,7.372286797E0
9.986389220E-1,1.636690736E0,6.472585201E0,7.300501823E0
1.015305588E0,1.703689694E0,6.477370739E0,7.240681171E0
1.031972254E0,1.797009826E0,6.537191391E0,7.494320393E0
1.048638920E0,1.911865234E0,6.501298904E0,7.621140003E0
1.065305586E0,1.844866276E0,6.463014126E0,7.494320393E0
1.081972252E0,1.751546144E0,6.534798622E0,7.472784996E0
1.098638918E0,1.797009826E0,6.563512325E0,7.594819069E0
1.115305584E0,1.864008784E0,6.532405853E0,7.556533813E0
1.131972250E0,1.478764415E0,6.307480335E0,7.176074982E0
1.148638916E0,1.667797327E0,6.644868374E0,7.798209190E0
1.165305582E0,1.835294962E0,6.821937561E0,7.582854748E0
1.181972248E0,1.761117458E0,6.601797581E0,7.779066563E0
1.198638914E0,1.899901152E0,6.369693756E0,7.374679565E0
1.215305580E0,1.804188251E0,6.776473522E0,7.609176159E0
1.231972246E0,1.825723648E0,6.465406895E0,7.757531166E0
1.248638912E0,1.572084427E0,6.137589931E0,7.817351341E0
1.265305578E0,1.447657704E0,6.149554253E0,7.635497093E0
1.281972244E0,1.402194023E0,6.195017815E0,7.561319351E0
1.298638910E0,1.268195987E0,6.061019897E0,7.532605648E0
1.315305576E0,1.258624673E0,6.084948063E0,7.645068169E0
1.331972242E0,1.674975872E0,6.149554253E0,8.118846893E0
1.348638908E0,1.947757602E0,5.998806477E0,8.214560509E0
1.365305574E0,1.861616015E0,5.982056618E0,7.994420528E0
1.381972240E0,1.686939955E0,5.962913990E0,7.767102242E0
1.398638906E0,1.639083505E0,5.809773445E0,7.879564762E0
1.415305572E0,1.756331801E0,5.793023586E0,8.276773453E0
1.431972238E0,1.940579176E0,5.917450428E0,8.396414757E0
1.448638904E0,1.911865234E0,5.912664890E0,8.087740898E0
1.465305570E0,1.849651933E0,6.017949104E0,7.881958008E0
1.481972236E0,1.770688772E0,5.984449387E0,7.908278942E0
1.498638902E0,1.557727575E0,5.869594097E0,8.013563156E0
1.515305568E0,1.433300734E0,5.826523304E0,8.001599312E0
1.531972234E0,1.313659668E0,5.642275810E0,8.123632431E0
1.548638900E0,1.189232826E0,5.637490273E0,8.204988480E0
1.565305566E0,1.462014675E0,5.769095421E0,8.403593063E0
1.581972232E0,1.911865234E0,5.965306759E0,8.484949112E0
1.598638898E0,1.986042738E0,6.001199245E0,8.394021988E0
1.615305564E0,1.856830359E0,5.974878311E0,8.059026718E0
1.631972230E0,1.753939033E0,5.984449387E0,7.824530125E0
1.648638896E0,1.591227055E0,5.816951752E0,7.903493404E0
1.665305562E0,1.562513232E0,5.771488190E0,8.030312538E0
1.681972228E0,1.756331801E0,5.924628735E0,8.236095428E0
1.698638894E0,1.950150490E0,5.986842155E0,8.279166222E0
1.715305560E0,1.878365755E0,5.888736725E0,8.061419487E0
1.731972226E0,2.076970100E0,5.814558983E0,6.790830612E0
1.748638892E0,1.715653777E0,6.046662807E0,7.984848976E0
1.765305558E0,1.844866276E0,5.800201893E0,8.420342445E0
1.781972224E0,1.990828395E0,5.804987907E0,8.425128937E0
1.798638890E0,2.088934183E0,5.934200287E0,8.394021988E0
