"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.090109000E-3,1.088734269E0,3.289233923E0,9.483653069E0
2.143359900E-2,1.172483087E0,3.225524902E0,9.597611427E0
3.810026500E-2,1.142871857E0,3.168097258E0,9.949356079E0
5.476693100E-2,1.142871857E0,3.168097258E0,9.949356079E0
7.143359700E-2,1.142871857E0,3.168097258E0,9.949356079E0
8.810026300E-2,1.142871857E0,3.168097258E0,9.949356079E0
1.047669290E-1,1.142871857E0,3.168097258E0,9.949356079E0
1.214335950E-1,1.142871857E0,3.168097258E0,9.949356079E0
1.381002610E-1,1.142871857E0,3.168097258E0,9.949356079E0
1.547669270E-1,1.088734269E0,2.524427891E0,1.019970608E1
1.714335930E-1,1.185942769E0,2.251646042E0,1.004417229E1
1.881002590E-1,1.437189102E0,2.102393866E0,1.000289631E1
2.047669250E-1,1.437189102E0,2.102393866E0,1.000289631E1
2.214335910E-1,2.085045815E0,1.841576099E0,1.035135078E1
2.381002570E-1,2.085045815E0,1.841576099E0,1.035135078E1
2.547669230E-1,2.085045815E0,1.841576099E0,1.035135078E1
2.714335890E-1,3.184846878E0,1.639083505E0,9.835996628E0
2.881002550E-1,3.275774240E0,1.585544109E0,9.122337341E0
3.047669210E-1,3.236591816E0,1.473978758E0,8.251948357E0
3.214335870E-1,3.038884640E0,1.319342613E0,7.552645683E0
3.381002530E-1,3.038884640E0,1.319342613E0,7.552645683E0
3.547669190E-1,2.925524712E0,1.075274706E0,8.705986023E0
3.714335850E-1,2.925524712E0,1.075274706E0,8.705986023E0
3.881002510E-1,3.893122435E0,1.221835017E0,1.091515923E1
4.047669170E-1,3.893122435E0,1.221835017E0,1.091515923E1
4.214335830E-1,3.652344704E0,1.805085540E0,9.365508080E0
4.381002490E-1,3.652344704E0,1.805085540E0,9.365508080E0
4.547669150E-1,3.652344704E0,1.805085540E0,9.365508080E0
4.714335810E-1,3.652344704E0,1.805085540E0,9.365508080E0
4.881002470E-1,2.687139750E0,1.019342422E0,9.907182693E0
5.047669130E-1,2.427817583E0,4.944169819E-1,9.040981293E0
5.214335790E-1,2.755036116E0,4.043870270E-1,8.748159409E0
5.381002450E-1,2.755036116E0,4.043870270E-1,8.748159409E0
5.547669110E-1,5.460421085E0,1.399801254E0,8.156234741E0
5.714335770E-1,5.460421085E0,1.399801254E0,8.156234741E0
5.881002430E-1,5.460421085E0,1.399801254E0,8.156234741E0
6.047669090E-1,5.021637440E0,-4.004986882E-1,5.225027561E0
6.214335750E-1,5.876772404E0,-1.603191197E-1,1.007139015E1
6.381002410E-1,6.317949295E0,-6.302096844E-1,1.306391430E1
6.547669070E-1,6.317949295E0,-6.302096844E-1,1.306391430E1
6.714335730E-1,6.317949295E0,-6.302096844E-1,1.306391430E1
6.881002390E-1,4.952245712E0,-2.105683982E-1,3.074777126E0
7.047669050E-1,4.488038063E0,-1.977069676E-1,4.100400925E0
7.214335710E-1,4.028017998E0,-6.637091637E-1,3.652344704E0
7.381002370E-1,5.962913990E0,-3.627519131E0,5.604887962E0
7.547669030E-1,5.962913990E0,-3.627519131E0,5.604887962E0
7.714335690E-1,5.962913990E0,-3.627519131E0,5.604887962E0
7.881002350E-1,5.511568069E0,-7.715955734E0,7.411468983E0
8.047669010E-1,5.511568069E0,-7.715955734E0,7.411468983E0
8.214335670E-1,3.436093330E0,-1.253839111E1,6.532405853E0
8.381002330E-1,3.249453068E0,-1.406650734E1,6.135197163E0
8.547668990E-1,3.249453068E0,-1.406650734E1,6.135197163E0
8.714335650E-1,3.249453068E0,-1.406650734E1,6.135197163E0
8.881002310E-1,1.525723577E0,-1.124626637E1,5.703591824E0
9.047668970E-1,3.421736360E-1,-1.036331463E1,4.019941807E0
9.214335630E-1,-1.373480201E0,-1.004746246E1,3.706482172E0
9.381002290E-1,-3.754338741E0,-9.789037704E0,2.206182480E0
9.547668950E-1,-2.289931297E0,-9.425328255E0,8.997012973E-1
9.714335610E-1,-1.753939033E0,-6.790830612E0,-2.878565550E0
9.881002270E-1,-2.055434704E0,-6.410371780E0,-3.208775282E0
1.004766893E0,-4.417150497E0,-5.941378593E0,-5.431707501E-1
1.021433559E0,-7.448856831E0,-7.477570534E0,6.245267391E-1
1.038100225E0,-8.640482903E0,-8.731410027E0,6.508477330E-1
1.054766891E0,-8.219346046E0,-8.647661209E0,1.012163997E0
1.071433557E0,-5.659025669E0,-7.707281590E0,2.136790514E0
1.088100223E0,-3.192025423E0,-6.463014126E0,2.749353170E0
1.104766889E0,-3.515056372E0,-7.829315662E0,1.574477315E0
1.121433555E0,-3.821337700E0,-8.458627701E0,1.119840980E0
1.138100221E0,-3.986442566E0,-6.951149940E0,3.108276606E0
1.154766887E0,-4.979464054E0,-8.348558426E0,-3.737588882E0
1.171433553E0,-1.579262972E0,-7.444071293E0,-6.364908218E-1
1.188100219E0,-1.679761529E0,-8.647661209E0,1.598405480E0
1.204766885E0,-1.679761529E0,-8.647661209E0,1.598405480E0
1.221433551E0,-1.679761529E0,-8.647661209E0,1.598405480E0
1.238100217E0,-1.679761529E0,-8.647661209E0,1.598405480E0
1.254766883E0,-1.679761529E0,-8.647661209E0,1.598405480E0
1.271433549E0,-8.523234367E0,-4.847858906E0,-1.122233868E0
1.288100215E0,-7.503891945E0,-7.032505512E0,-1.497906923E0
1.304766881E0,-9.533005714E0,-5.450850010E0,-9.188438654E-1
1.321433547E0,-9.444471359E0,-5.898307800E0,3.318845034E0
1.338100213E0,-4.893322468E0,-7.018148899E0,3.876372576E0
1.354766879E0,-5.804987907E0,-5.091926575E0,1.205982566E0
1.371433545E0,-5.570491314E0,-4.012763500E0,-6.747759581E-1
1.388100211E0,-6.666403770E0,-4.299902439E0,-1.217946768E0
1.404766877E0,-4.409972191E0,-3.060420275E0,1.363908947E-1
1.421433543E0,-3.866801500E0,-2.742174864E0,-4.857429862E-1
1.438100209E0,-4.242474556E0,-2.177468538E0,-3.206382394E-1
1.454766875E0,-5.228317261E0,-1.689332843E0,1.950150490E0
1.471433541E0,-6.491727829E0,-1.536192179E0,5.807380676E0
1.488100207E0,-6.491727829E0,-1.536192179E0,5.807380676E0
1.504766873E0,-4.642076015E0,6.699903309E-2,2.105683982E-1
1.521433539E0,-4.869394302E0,1.191625714E0,-1.459621787E-1
1.538100205E0,-6.218945980E0,2.254039049E0,-5.503492355E-1
1.554766871E0,-7.439285755E0,4.857429862E-1,2.933600664E0
1.571433537E0,-8.190631866E0,-5.072783828E-1,3.763910055E0
1.588100203E0,-1.004746246E1,-1.837687731E0,4.335794449E0
1.604766869E0,-9.135796547E0,-1.253839016E0,1.395015597E0
1.621433535E0,-9.619147301E0,2.871387079E-2,-1.383051515E0
1.638100201E0,-1.008335495E1,8.111668825E-1,-9.571290612E-1
1.654766867E0,-1.305284786E1,3.629911900E0,2.206182480E0
1.671433533E0,-1.577827263E1,5.134997368E0,5.532206059E0
1.688100199E0,-1.667558098E1,4.852644444E0,5.225924492E0
1.704766865E0,-1.562513161E1,4.766502857E0,5.814558983E0
1.721433531E0,-1.441197109E1,4.094119549E0,4.943571568E0
1.738100197E0,-1.330409431E1,4.510470867E0,4.019941807E0
1.754766863E0,-1.331845093E1,5.362315655E0,3.510270834E0
1.771433529E0,-1.372762394E1,6.171089649E0,3.658625841E0
1.788100195E0,-1.535474300E1,7.853243828E0,4.106083870E0
1.804766861E0,-1.714696693E1,7.767102242E0,2.775674343E0
1.821433527E0,-1.714696693E1,7.767102242E0,2.775674343E0
1.838100193E0,-1.680957985E1,8.736195564E0,1.868794441E0
1.854766859E0,-1.610848236E1,8.829515457E0,1.978864312E0
1.871433525E0,-1.516810226E1,6.920042992E0,4.460221291E0
1.888100191E0,-1.516810226E1,6.920042992E0,4.460221291E0
1.904766857E0,-1.302891922E1,3.220739365E0,5.161318302E0
1.921433523E0,-7.144968510E0,4.945964336E0,3.988835335E0
1.938100189E0,-4.496113777E0,8.886942863E0,1.895115495E0
1.954766855E0,-6.161518097E0,8.252845764E0,-4.067798555E-1
1.971433521E0,-5.709274769E0,8.260024071E0,4.737788737E-1
1.988100187E0,-6.781259537E0,5.422136307E0,5.718846321E-1
2.004766853E0,-6.228517532E0,1.605584025E0,-3.661018610E-1
2.021433519E0,-6.329015732E0,4.630111694E0,-1.016949654E0
2.038100185E0,-7.030112743E0,4.929214478E0,-3.802195072E0
2.054766851E0,-1.089212894E1,2.830709219E0,-5.400600910E0
2.071433517E0,-1.089212894E1,2.830709219E0,-5.400600910E0
2.088100183E0,-9.571290970E0,4.108476639E0,-4.192225456E0
2.104766849E0,-5.465207100E0,2.184647083E0,-5.730810165E0
2.121433515E0,-4.500899315E0,6.532405615E-1,-3.783052683E0
2.138100181E0,-4.304687977E0,1.663011789E0,-5.407779217E-1
2.154766847E0,-4.390829563E0,1.538584948E0,4.402793646E-1
2.171433513E0,-5.496313572E0,-1.229910851E0,2.703889608E-1
2.188100179E0,-3.220739365E0,-9.188438654E-1,-7.417750359E-1
2.204766845E0,-1.115055323E0,9.068797827E-1,-2.072184324E0
2.221433511E0,-1.966900229E0,1.454836130E0,-3.292523861E0
2.238100177E0,-5.807380676E0,3.900300980E0,-3.902693748E0
2.254766843E0,-5.807380676E0,3.900300980E0,-3.902693748E0
2.271433509E0,-1.210528946E1,3.481556892E0,-1.727617979E0
2.288100175E0,-1.171525955E1,1.004985452E0,-3.467200041E0
2.304766841E0,-9.126225471E0,-2.610569477E0,-5.431707501E-1
2.321433507E0,-1.097587776E1,3.984049797E0,-9.667003751E-1
2.338100173E0,-1.046859932E1,7.180860519E0,-9.059226990E0
2.354766839E0,-9.724431038E0,7.444071293E0,-9.573683739E0
2.371433505E0,-6.601797581E0,1.000439167E1,-3.850051641E0
2.388100171E0,-8.461020470E0,8.889336586E0,-5.778666496E0
2.404766837E0,-1.064566803E1,8.647661209E0,-6.999006271E0
2.421433503E0,-1.155494022E1,8.918049812E0,-5.632704735E0
2.438100169E0,-1.205743313E1,8.506484032E0,-5.170889854E0
2.454766835E0,-1.159083271E1,6.683153629E0,-5.644668579E0
2.471433501E0,-1.043509960E1,6.654439926E0,-5.663811207E0
2.488100167E0,-9.690931320E0,6.762116909E0,-6.302694798E0
2.504766833E0,-8.336593628E0,7.401000500E0,-4.067798615E0
2.521433499E0,-6.970292568E0,8.408378601E0,-7.152146816E0
2.538100165E0,-6.970292568E0,8.408378601E0,-7.152146816E0
2.554766831E0,-8.547162056E0,2.727817774E0,-4.651647091E0
2.571433497E0,-7.453642368E0,6.245267391E-1,-1.464407444E0
2.588100163E0,-7.453642368E0,6.245267391E-1,-1.464407444E0
2.604766829E0,-7.831708431E0,1.636690736E0,1.043270707E0
2.621433495E0,-6.565905571E0,7.130611539E-1,1.526620865E0
2.638100161E0,-5.486742496E0,6.436693072E-1,1.052842021E0
2.654766827E0,-7.369893551E0,5.790630579E-1,1.749153376E0
2.671433493E0,-7.587640762E0,-7.896314561E-2,8.327022791E-1
2.688100159E0,-4.565505505E0,6.699903607E-1,-2.036292076E0
2.704766825E0,-3.213560820E0,3.677768469E0,-2.758924484E0
