"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.466219200E-2,3.300960660E-1,1.389717404E-2,7.269290686E-1
4.900568200E-2,1.462257504E-1,2.386954129E-1,8.177952170E-1
6.567234800E-2,0.000000000E0,0.000000000E0,0.000000000E0
8.233901400E-2,0.000000000E0,0.000000000E0,0.000000000E0
9.900568000E-2,0.000000000E0,0.000000000E0,0.000000000E0
1.156723460E-1,0.000000000E0,0.000000000E0,0.000000000E0
1.323390120E-1,0.000000000E0,0.000000000E0,0.000000000E0
1.490056780E-1,4.482220486E-2,-2.664897591E-2,1.352683663E0
1.656723440E-1,4.482220486E-2,-2.664897591E-2,1.352683663E0
1.823390100E-1,6.268999726E-2,2.493091822E-1,1.488524795E0
1.990056760E-1,6.268999726E-2,2.493091822E-1,1.488524795E0
2.156723420E-1,6.268999726E-2,2.493091822E-1,1.488524795E0
2.323390080E-1,6.925679743E-2,3.636936247E-1,1.536324978E0
2.490056740E-1,2.160170525E-1,3.227656782E-1,1.505018115E0
2.656723400E-1,6.322450638E-1,2.645808160E-1,1.320078731E0
2.823390060E-1,6.322450638E-1,2.645808160E-1,1.320078731E0
2.990056720E-1,7.448732257E-1,7.987056673E-2,1.152549148E0
3.156723380E-1,7.448732257E-1,7.987056673E-2,1.152549148E0
3.323390040E-1,4.994583130E-1,-2.740492225E-1,1.138041139E0
3.490056700E-1,2.757290900E-1,-3.371210098E-1,1.236619353E0
3.656723360E-1,2.757290900E-1,-3.371210098E-1,1.236619353E0
3.823390020E-1,2.757290900E-1,-3.371210098E-1,1.236619353E0
3.990056680E-1,2.757290900E-1,-3.371210098E-1,1.236619353E0
4.156723340E-1,2.757290900E-1,-3.371210098E-1,1.236619353E0
4.323390000E-1,-2.359465137E-2,4.528798759E-1,1.567708135E0
4.490056660E-1,1.404988952E-2,1.857792437E-1,1.604589105E0
4.656723320E-1,1.404988952E-2,1.857792437E-1,1.604589105E0
4.823389980E-1,1.404988952E-2,1.857792437E-1,1.604589105E0
4.990056640E-1,1.604283601E-1,-4.756345749E-1,2.036241293E0
5.156723300E-1,1.604283601E-1,-4.756345749E-1,2.036241293E0
5.323389960E-1,1.924224049E-1,-9.485966563E-1,2.488892078E0
5.490056620E-1,1.924224049E-1,-9.485966563E-1,2.488892078E0
5.656723280E-1,1.924224049E-1,-9.485966563E-1,2.488892078E0
5.823389940E-1,1.924224049E-1,-9.485966563E-1,2.488892078E0
5.990056600E-1,1.924224049E-1,-9.485966563E-1,2.488892078E0
6.156723260E-1,-7.865647674E-1,-9.050725102E-1,2.348775148E0
6.323389920E-1,-7.865647674E-1,-9.050725102E-1,2.348775148E0
6.490056580E-1,-4.266127050E-1,9.670752883E-1,2.786154270E0
6.656723240E-1,-3.182605505E-1,9.894482493E-1,2.904051065E0
6.823389900E-1,-3.182605505E-1,9.894482493E-1,2.904051065E0
6.990056560E-1,-2.214155674E0,-2.613737583E-1,3.628384113E0
