"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
8.103630700E-2,7.641045698E-1,7.630145550E-2,-1.475374401E-1,-6.233417988E-1,8.034520753E1,1.764528034E1,-7.489488039E0,-7.957788934E1
9.770224500E-2,7.701595235E-1,7.649244368E-2,-1.354346722E-1,-6.185957193E-1,7.926356783E1,1.669358615E1,-6.544612478E0,-7.850442362E1
1.143681820E-1,7.725211643E-1,7.353655994E-2,-1.281199306E-1,-6.175667644E-1,7.883833965E1,1.586881600E1,-6.149509641E0,-7.813677534E1
1.310341200E-1,7.767781263E-1,7.209163904E-2,-1.239398420E-1,-6.132352352E-1,7.806695415E1,1.539369473E1,-5.977001257E0,-7.738786547E1
1.477000570E-1,7.845015684E-1,7.173360139E-2,-1.222557500E-1,-6.037094593E-1,7.665079419E1,1.516597352E1,-6.039101359E0,-7.596451619E1
1.643659950E-1,7.923911582E-1,7.029274106E-2,-1.209736913E-1,-5.937512517E-1,7.518093240E1,1.486620399E1,-6.214109012E0,-7.450110886E1
1.810319320E-1,7.982507385E-1,6.707110256E-2,-1.193981022E-1,-5.865503550E-1,7.407323328E1,1.440108318E1,-6.427049962E0,-7.342931769E1
1.976978700E-1,8.073692244E-1,6.326659769E-2,-1.184017956E-1,-5.745722651E-1,7.232062372E1,1.388121434E1,-6.804702642E0,-7.170517635E1
2.143638070E-1,8.146155443E-1,5.843359232E-2,-1.184180677E-1,-5.647691488E-1,7.090126899E1,1.334573558E1,-7.292075333E0,-7.032103659E1
2.310297450E-1,8.223099260E-1,5.478956178E-2,-1.195079461E-1,-5.536445975E-1,6.936660161E1,1.297466169E1,-7.809350101E0,-6.879253927E1
2.476956820E-1,8.291818953E-1,5.271538720E-2,-1.224968061E-1,-5.428379178E-1,6.797041928E1,1.287340292E1,-8.390120458E0,-6.737109906E1
2.643616200E-1,8.349492786E-1,5.143189430E-2,-1.273193806E-1,-5.329204798E-1,6.677888580E1,1.296756667E1,-9.078772544E0,-6.613141324E1
2.810275570E-1,8.398248189E-1,5.058968440E-2,-1.336007863E-1,-5.237230062E-1,6.575674890E1,1.319650134E1,-9.869957806E0,-6.504062147E1
2.976934950E-1,8.440921367E-1,4.961241782E-2,-1.409332305E-1,-5.149610639E-1,6.485040817E1,1.347420922E1,-1.076751381E1,-6.404846528E1
3.143594320E-1,8.477604195E-1,4.733352363E-2,-1.487246454E-1,-5.068952441E-1,6.406218119E1,1.365071559E1,-1.178146961E1,-6.316738857E1
3.310253700E-1,8.525798450E-1,4.348162934E-2,-1.548516154E-1,-4.972302616E-1,6.301322767E1,1.352740171E1,-1.275637581E1,-6.202114649E1
3.476913070E-1,8.576022968E-1,3.779644147E-2,-1.583758444E-1,-4.878594279E-1,6.190314896E1,1.304204349E1,-1.357796379E1,-6.082728326E1
3.643572450E-1,8.629268609E-1,3.148536012E-2,-1.595168561E-1,-4.784561396E-1,6.070636736E1,1.232747876E1,-1.419211871E1,-5.955346098E1
3.810231820E-1,8.694460072E-1,2.674726211E-2,-1.563895345E-1,-4.678573906E-1,5.921134868E1,1.147898830E1,-1.429513333E1,-5.801447764E1
3.976891200E-1,8.763978676E-1,2.353584021E-2,-1.524742246E-1,-4.562065899E-1,5.757830608E1,1.072416427E1,-1.422803800E1,-5.634051389E1
4.143550570E-1,8.823915839E-1,2.161072567E-2,-1.510045677E-1,-4.451018870E-1,5.613556338E1,1.025868227E1,-1.431498095E1,-5.482683349E1
4.310209950E-1,8.883537067E-1,2.027858049E-2,-1.516882628E-1,-4.329054654E-1,5.466580420E1,9.958884140E0,-1.459282925E1,-5.323936009E1
4.476869320E-1,8.941472706E-1,1.869559474E-2,-1.542309672E-1,-4.199570715E-1,5.320178278E1,9.717102405E0,-1.507645291E1,-5.160529219E1
4.643528700E-1,8.998185965E-1,1.675718464E-2,-1.572710276E-1,-4.065851867E-1,5.173153442E1,9.445693690E0,-1.562882496E1,-4.993109911E1
4.810188070E-1,9.057516969E-1,1.422233414E-2,-1.595809609E-1,-3.923588991E-1,5.015056993E1,9.043377736E0,-1.613615863E1,-4.812770238E1
4.976847450E-1,9.117728341E-1,9.819712490E-3,-1.635191888E-1,-3.766103387E-1,4.849698934E1,8.478841476E0,-1.690515615E1,-4.614867225E1
5.143506820E-1,9.180269745E-1,3.745925380E-3,-1.693280339E-1,-3.585253954E-1,4.672135514E1,7.750506379E0,-1.795135290E1,-4.389118487E1
5.310166200E-1,9.237048411E-1,-1.893101842E-3,-1.792129725E-1,-3.385978341E-1,4.505228120E1,7.178975061E0,-1.941218883E1,-4.149180607E1
5.476825570E-1,9.278831250E-1,-7.371539250E-3,-1.935874522E-1,-3.185945153E-1,4.378559774E1,6.762106969E0,-2.134298583E1,-3.917612104E1
5.643484950E-1,9.301100038E-1,-1.225630660E-2,-2.115651220E-1,-2.999756038E-1,4.309606188E1,6.526559600E0,-2.363513302E1,-3.711768234E1
5.810144320E-1,9.316567834E-1,-1.644557342E-2,-2.272729576E-1,-2.830056250E-1,4.261086447E1,6.240590503E0,-2.564469821E1,-3.521571314E1
5.976803700E-1,9.343220638E-1,-2.881889045E-2,-2.353292704E-1,-2.661426067E-1,4.176221152E1,4.599814816E0,-2.707050175E1,-3.290718745E1
