"Time (s)","Pressure (hPa)"
1.710403170E-1,9.990433960E2
2.110390670E-1,9.990448608E2
2.510474010E-1,9.990407104E2
2.910411510E-1,9.990414429E2
3.310391720E-1,9.990385132E2
3.710389110E-1,9.990416870E2
4.110388070E-1,9.990448608E2
4.510403170E-1,9.990538940E2
4.910487030E-1,9.990509644E2
5.310476610E-1,9.990617065E2
5.710409950E-1,9.990536499E2
6.110393800E-1,9.990548706E2
6.510388070E-1,9.990595093E2
6.910406300E-1,9.990609741E2
7.310388590E-1,9.990700073E2
7.710452650E-1,9.990895386E2
8.110391720E-1,9.991044312E2
8.510466200E-1,9.990761108E2
8.910446400E-1,9.990365601E2
9.310367240E-1,9.990057983E2
9.710330260E-1,9.989945679E2
1.011032088E0,9.989838257E2
1.051033130E0,9.989808960E2
1.091322401E0,9.989765015E2
1.131026828E0,9.989708862E2
1.171050265E0,9.989721069E2
1.211039067E0,9.989725952E2
1.251040370E0,9.989867554E2
1.291045578E0,9.989835815E2
1.331040890E0,9.990292358E2
1.371067817E0,9.990595093E2
1.411040630E0,9.990797729E2
1.451039120E0,9.990900269E2
1.491039067E0,9.991190796E2
1.531039067E0,9.991232300E2
1.571026984E0,9.991256714E2
1.611040630E0,9.991378784E2
1.651039015E0,9.991718140E2
1.691039120E0,9.991796265E2
1.731038807E0,9.991918335E2
1.771041463E0,9.991657104E2
1.811050474E0,9.991286011E2
1.851027088E0,9.991124878E2
1.891039067E0,9.990961304E2
1.931039015E0,9.990873413E2
1.971039067E0,9.990890503E2
2.011026880E0,9.991051636E2
2.051056255E0,9.991036987E2
2.091040942E0,9.991049194E2
2.131039067E0,9.991024780E2
2.171038755E0,9.990785522E2
2.211039067E0,9.990546265E2
2.251040890E0,9.990272827E2
2.291065734E0,9.990128784E2
2.331039120E0,9.989528198E2
2.371039067E0,9.989096069E2
2.411039067E0,9.988998413E2
2.451316724E0,9.989306030E2
2.491046515E0,9.989730835E2
2.531040682E0,9.990111694E2
2.571040838E0,9.990490112E2
2.611039015E0,9.990648804E2
2.651039640E0,9.990448608E2
2.691047036E0,9.990075073E2
2.731042557E0,9.989555054E2
2.771039067E0,9.989330444E2
2.811039120E0,9.989286499E2
2.851040370E0,9.989210815E2
2.891425109E0,9.989125366E2
2.931041307E0,9.988991089E2
2.971039640E0,9.988908081E2
3.011038807E0,9.988920288E2
3.051039067E0,9.989279175E2
3.091035161E0,9.990319214E2
3.131053599E0,9.990719604E2
3.171040213E0,9.990756226E2
3.211053442E0,9.990897827E2
3.251039015E0,9.990995483E2
3.291039067E0,9.990792847E2
3.331227661E0,9.990563354E2
3.371043234E0,9.990270386E2
3.411977870E0,9.990140991E2
3.451038859E0,9.990092163E2
3.491040057E0,9.990084839E2
3.531048390E0,9.990119019E2
3.571042817E0,9.990578003E2
3.611058963E0,9.991932983E2
3.651038807E0,9.993632202E2
3.691040370E0,9.994845581E2
3.731041047E0,9.994620972E2
3.771064484E0,9.993412476E2
3.811067088E0,9.991693726E2
3.851105109E0,9.990443726E2
3.891039067E0,9.989613647E2
3.931039120E0,9.989074097E2
3.971027349E0,9.988815308E2
4.011040734E0,9.988656616E2
4.051040995E0,9.988473511E2
4.091040734E0,9.988390503E2
4.131039432E0,9.988383179E2
4.171039640E0,9.988290405E2
4.211408442E0,9.988275757E2
4.251065786E0,9.988300171E2
4.291039120E0,9.988363647E2
4.331039120E0,9.988576050E2
4.371039120E0,9.988815308E2
4.411027817E0,9.988890991E2
4.451048703E0,9.989054565E2
4.491041047E0,9.989249878E2
4.531065213E0,9.989252319E2
4.571039067E0,9.989369507E2
4.611039120E0,9.989391479E2
4.651460109E0,9.989354858E2
4.691055109E0,9.989349976E2
4.731039067E0,9.989335327E2
4.771039328E0,9.989318237E2
4.811039067E0,9.989235229E2
4.851026463E0,9.989472046E2
4.891048442E0,9.989840698E2
4.931069640E0,9.989845581E2
4.971379640E0,9.990075073E2
5.011040161E0,9.989931030E2
5.051039328E0,9.990014038E2
5.091237192E0,9.990075073E2
5.131043911E0,9.989987183E2
5.171065005E0,9.990043335E2
5.211056984E0,9.990416870E2
5.251039067E0,9.990350952E2
5.291935422E0,9.990846558E2
5.331048963E0,9.991163940E2
5.371040422E0,9.991674194E2
5.411039067E0,9.992228394E2
5.451055734E0,9.992557983E2
5.491039067E0,9.992633667E2
5.531222817E0,9.992819214E2
5.571054172E0,9.993283081E2
5.611066567E0,9.994804077E2
5.651039015E0,9.995285034E2
5.691038807E0,9.992933960E2
5.731405995E0,9.990829468E2
5.771045161E0,9.990062866E2
5.811040370E0,9.989017944E2
5.851039067E0,9.988085327E2
5.891039067E0,9.987763062E2
5.931040057E0,9.987721558E2
5.971051724E0,9.987697144E2
6.011040161E0,9.987665405E2
6.051054536E0,9.987684937E2
6.091039120E0,9.988461304E2
6.131039588E0,9.988820190E2
6.171752140E0,9.988829956E2
