time,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z
0 days 00:00:00.027090109,1.1502746645,3.1824541689999997,9.861419916,0.28412848710000005,0.07009673375499999,0.7496456057
0 days 00:00:00.047090109,1.142871857,3.168097258,9.949356079,0.0731128752,0.11934770645,0.4088976085
0 days 00:00:00.067090109,1.142871857,3.168097258,9.949356079,0.0,0.0,0.0
0 days 00:00:00.087090109,1.142871857,3.168097258,9.949356079,0.0,0.0,0.0
0 days 00:00:00.107090109,1.142871857,3.168097258,9.949356079,0.0,0.0,0.0
0 days 00:00:00.127090109,1.142871857,3.168097258,9.949356079,0.011205551215,-0.0066622439775,0.33817091575
0 days 00:00:00.147090109,1.113958617,2.5862424773333337,10.1320587815,0.04482220486,-0.02664897591,1.3526836629999999
0 days 00:00:00.167090109,1.24875435225,2.2143329979999997,10.033853295,0.058223049160000005,0.1803196426725,1.4545645120000001
0 days 00:00:00.187090109,1.4371891020000003,2.102393866,10.00289631,0.06268999726,0.2493091822,1.488524795
0 days 00:00:00.207090109,1.92308163675,1.90678054075,10.2642371625,0.0643316973025,0.277905292825,1.50047484075
0 days 00:00:00.227090109,2.085045815,1.841576099,10.35135078,0.10594686119750002,0.353461638075,1.5284982622499999
0 days 00:00:00.247090109,2.2683459921666667,1.8078273333333332,10.265458421333333,0.42413105814999996,0.29367324710000003,1.4125484229999998
0 days 00:00:00.267090109,3.2075787185,1.625698656,9.65758180625,0.6322450638,0.264580816,1.320078731
0 days 00:00:00.287090109,3.256183028,1.5297614335,8.687142848999999,0.7261018653833333,0.11065560827499998,1.1804707451666667
0 days 00:00:00.307090109,3.088311434,1.3580016492500002,7.7274713515,0.6835194975250001,-0.008609380577500006,1.14892214575
0 days 00:00:00.327090109,3.03888464,1.319342613,7.552645683,0.44352600725,-0.289817169325,1.1626856925000002
0 days 00:00:00.347090109,2.9444180333333336,1.1159526905000001,8.513762632999999,0.27572909,-0.3371210098,1.236619353
0 days 00:00:00.367090109,3.16742414275,1.11191478375,9.25827932475,0.27572909,-0.3371210098,1.236619353
0 days 00:00:00.387090109,3.893122435,1.221835017,10.91515923,0.27572909,-0.3371210098,1.236619353
0 days 00:00:00.407090109,3.71253913675,1.6592729092500003,9.752920867499999,0.2008981546575,-0.13962078837499997,1.3193915485
0 days 00:00:00.427090109,3.652344704,1.80508554,9.36550808,-0.0141835161475,0.38610471785,1.5769283774999998
0 days 00:00:00.447090109,3.6523447039999994,1.80508554,9.36550808,0.014049889520000003,0.1857792437,1.6045891049999998
0 days 00:00:00.467090109,3.4110434654999997,1.6086497605,9.500926733250001,0.01404988952,0.1857792437,1.604589105
0 days 00:00:00.487090109,2.5574786664999998,0.75687970195,9.474081992999999,0.13603194833666668,-0.36539893846666666,1.9642992616666666
0 days 00:00:00.507090109,2.67323148275,0.42689451572500003,8.821364879999999,0.1684268713,-0.59387509525,2.1494039892499996
0 days 00:00:00.527090109,2.755036116,0.404387027,8.748159409,0.1924224049,-0.9485966563,2.488892078
0 days 00:00:00.547090109,5.009523590166666,1.2338988828333333,8.254888852333334,0.19242240489999998,-0.9485966563,2.488892078
0 days 00:00:00.567090109,5.460421085,1.399801254,8.156234741,0.1924224049,-0.9485966563,2.488892078
0 days 00:00:00.587090109,5.2410292625,0.49965128289999994,6.690631151000001,0.029257876183333326,-0.94134263195,2.4655392563333334
0 days 00:00:00.607090109,5.662988663,-0.220364011825,8.85979950275,-0.7865647674,-0.9050725102,2.348775148
0 days 00:00:00.627090109,6.20765507225,-0.512737043225,12.3157832625,-0.6965767518,-0.43703556057500004,2.4581199285000004
0 days 00:00:00.647090109,6.317949295000001,-0.6302096844,13.0639143,-0.37243662774999997,0.9782617687999999,2.8451026674999995
0 days 00:00:00.667090109,5.97652339925,-0.52529936285,10.5666300065,-0.3182605505,0.9894482493,2.904051065
0 days 00:00:00.687090109,4.7201418875,-0.2041376829,3.5875890255,-1.8981731534166668,-0.05290342370000001,3.5076619383333334
0 days 00:00:00.707090109,4.14302301425,-0.5472086146749999,3.76435875925,-2.5549800395,-0.940197229475,3.85974919775
0 days 00:00:00.727090109,5.479189992,-2.8865666391750002,5.1167521475,-3.577453136,-2.976667643,4.553844452
0 days 00:00:00.747090109,5.96291399,-3.627519131,5.604887962,-3.2899267669999994,-2.0795363785,4.903144359500001
0 days 00:00:00.767090109,5.850077509749999,-4.64962828175,6.05653321725,-3.002400398,-1.182405114,5.252444267
0 days 00:00:00.787090109,5.511568069,-7.7159557340000005,7.411468983,-3.088697790833333,-1.0953187047000001,5.553638775833334
0 days 00:00:00.807090109,3.9549620147499995,-11.332782265999999,6.7521716355,-3.50710839,-0.6676179170750001,7.2314170595
0 days 00:00:00.827090109,3.2961131334999996,-13.684478282499999,6.234499335500001,-3.4969908592500003,-0.6473448574749999,7.81748473625
0 days 00:00:00.847090109,3.249453068,-14.06650734,6.135197163,-3.7823601960000004,-0.23667193762499997,8.013858795
0 days 00:00:00.867090109,2.81852069525,-13.361447097500001,6.027295828250001,-3.98039484,0.04360047355,7.998281479
0 days 00:00:00.887090109,0.9339486065,-10.804790500000001,4.8617668155,-3.98039484,0.04360047355,7.998281479
0 days 00:00:00.907090109,-0.94456674175,-10.1264255025,3.7848470807499996,-3.86203980425,0.32933246616249995,7.06524288675
0 days 00:00:00.927090109,-3.159124106,-9.853643893000001,2.581257403,-3.506974697,1.186528444,4.26612711
0 days 00:00:00.947090109,-2.444667160333333,-9.046863556,0.4877370198666667,-3.5775295495,1.094287872,3.6867218019999997
0 days 00:00:00.967090109,-1.8293129507499999,-6.695715904,-2.961117983,-3.7268860935,0.1828776392225,2.35091316725
0 days 00:00:00.987090109,-3.2362926005,-6.1758751865,-1.8759730160499999,-3.5803803206666664,-0.8077414248116668,1.1636465392833333
0 days 00:00:01.007090109,-6.690930247499999,-7.09352254875,0.3326023668,-3.3985462784999996,-0.499763742125,0.29901831222499997
0 days 00:00:01.027090109,-8.342576385000001,-8.41795015375,0.644267484525,-3.271180868,-0.282143175625,0.19501857830000002
0 days 00:00:01.047090109,-7.8628154593333335,-8.504889408833334,1.1393823725,-3.01828289,-0.2312886715,0.3077231348
0 days 00:00:01.067090109,-4.8366922536666666,-7.292525768666667,2.340978066,-2.744615475,-0.29257877666666665,0.4404844046
0 days 00:00:01.087090109,-3.3535408975000003,-7.146164894,2.1619152425,-1.9935572145000002,-0.36720609665,0.338877224375
0 days 00:00:01.107090109,-3.7447673679999998,-8.30129969125,1.23350006375,-1.789833784,-0.3192532063,-0.02825249545
0 days 00:00:01.127090109,-3.9451663495,-7.32801938025,2.6111676995,-1.3973531685,0.053374320275,0.08872811263750001
0 days 00:00:01.147090109,-4.247260292333333,-7.964909156166667,-2.0797616239666663,-0.026572614899999996,0.629419818605,0.6345358044
0 days 00:00:01.167090109,-1.60438761125,-7.744968772,-0.07776674635000003,-0.141567915675,-1.3083960339475,1.0025818499749999
0 days 00:00:01.187090109,-1.679761529,-8.647661209,1.59840548,-0.2443459183,-1.7737222909999997,1.060308576
0 days 00:00:01.207090109,-1.679761529,-8.647661209,1.59840548,-0.2443459183,-1.773722291,1.060308576
0 days 00:00:01.227090109,-1.679761529,-8.647661209,1.59840548,-0.2443459183,-1.773722291,1.060308576
0 days 00:00:01.247090109,-2.820340335333334,-8.014360825166667,1.1449655886666668,-0.2443459183,-1.7737222909999997,1.060308576
