"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.096724000E-3,2.148754835E0,3.954438448E0,1.083141041E1
2.044266100E-2,1.506580949E0,3.853940010E0,1.055474091E1
3.710932700E-2,0.000000000E0,0.000000000E0,0.000000000E0
5.377599300E-2,0.000000000E0,0.000000000E0,0.000000000E0
7.044265900E-2,0.000000000E0,0.000000000E0,0.000000000E0
8.710932500E-2,1.557727575E0,4.274478436E0,8.480163574E0
1.037759910E-1,1.425225019E0,4.305585384E0,8.420342445E0
1.204426570E-1,1.234696507E0,4.416253090E0,8.392526627E0
1.371093230E-1,1.234696507E0,4.416253090E0,8.392526627E0
1.537759890E-1,1.123131156E0,4.354937077E0,8.960223198E0
1.704426550E-1,1.123131156E0,4.354937077E0,8.960223198E0
1.871093210E-1,1.432403445E0,4.404289246E0,9.114261627E0
2.037759870E-1,1.505085468E0,4.341477394E0,9.151051521E0
2.204426530E-1,1.482054472E0,4.172185421E0,9.274580956E0
2.371093190E-1,1.482054472E0,4.172185421E0,9.274580956E0
2.537759850E-1,1.482054472E0,4.172185421E0,9.274580956E0
2.704426510E-1,1.474876046E0,4.458725929E0,9.146863937E0
2.871093170E-1,1.474876046E0,4.458725929E0,9.146863937E0
3.037759830E-1,1.113559842E0,4.256831646E0,9.216255188E0
3.204426490E-1,1.054337502E0,4.172185421E0,9.297013283E0
3.371093150E-1,1.054337502E0,4.172185421E0,9.297013283E0
3.537759810E-1,1.054337502E0,4.172185421E0,9.297013283E0
3.704426470E-1,1.054337502E0,4.172185421E0,9.297013283E0
3.871093130E-1,1.432403445E0,4.318147659E0,8.892625809E0
4.037759790E-1,1.432403445E0,4.318147659E0,8.892625809E0
4.204426450E-1,1.369591832E0,4.254438877E0,9.028120041E0
4.371093110E-1,1.369591832E0,4.254438877E0,9.028120041E0
4.537759770E-1,1.369591832E0,4.254438877E0,9.028120041E0
4.704426430E-1,1.620838284E0,4.289433479E0,8.931509972E0
4.871093090E-1,1.620838284E0,4.289433479E0,8.931509972E0
5.037759750E-1,1.455733418E0,4.165904045E0,8.705088615E0
5.204426410E-1,1.331904888E0,4.158725739E0,8.705088615E0
5.371093070E-1,1.331904888E0,4.158725739E0,8.705088615E0
5.537759730E-1,1.331904888E0,4.158725739E0,8.705088615E0
5.704426390E-1,1.666900039E0,4.290330887E0,9.202795982E0
5.871093050E-1,1.839183331E0,4.416253090E0,9.305686951E0
6.037759710E-1,1.839183331E0,4.416253090E0,9.305686951E0
6.204426370E-1,1.850549221E0,4.390829563E0,9.310472488E0
6.371093030E-1,1.690828323E0,4.329513550E0,9.148657799E0
6.537759690E-1,1.690828323E0,4.329513550E0,9.148657799E0
6.704426350E-1,1.259521961E0,4.163511276E0,8.641978264E0
6.871093010E-1,1.259521961E0,4.163511276E0,8.641978264E0
7.037759670E-1,1.570588946E0,4.451547623E0,8.750552177E0
7.204426330E-1,1.601695657E0,4.294219494E0,8.828020096E0
7.371092990E-1,1.659123421E0,4.160221100E0,8.972187996E0
7.537759650E-1,1.659123421E0,4.160221100E0,8.972187996E0
7.704426310E-1,1.659123421E0,4.160221100E0,8.972187996E0
7.871092970E-1,1.659123421E0,4.160221100E0,8.972187996E0
8.037759630E-1,1.671685696E0,3.929014683E0,9.473184586E0
8.204426290E-1,1.340878010E0,3.621836185E0,9.497113228E0
8.371092950E-1,1.069591761E0,3.383451223E0,9.431011200E0
8.537759610E-1,1.069591761E0,3.383451223E0,9.431011200E0
8.704426270E-1,1.770688742E-1,2.355434895E0,9.557830811E0
8.871092930E-1,1.770688742E-1,2.355434895E0,9.557830811E0
9.037759590E-1,1.033699393E0,3.200699329E0,9.192327499E0
9.204426250E-1,1.497009635E0,3.380161047E0,8.883054733E0
9.371092910E-1,2.059323072E0,3.490231037E0,8.753842354E0
9.537759570E-1,2.726322412E0,3.805485249E0,8.976374626E0
9.704426230E-1,2.726322412E0,3.805485249E0,8.976374626E0
9.871092890E-1,3.227020502E0,3.711267948E0,9.336793900E0
1.003775955E0,3.404089212E0,3.648157120E0,9.446864128E0
1.020442621E0,3.767200232E0,3.519842148E0,9.678967476E0
1.037109287E0,3.945764542E0,3.428017616E0,9.765109062E0
1.053775953E0,3.945764542E0,3.428017616E0,9.765109062E0
1.070442619E0,3.945764542E0,3.428017616E0,9.765109062E0
1.087109285E0,3.945764542E0,3.428017616E0,9.765109062E0
1.103775951E0,2.929712296E0,1.647757530E0,7.703393459E0
1.120442617E0,2.929712296E0,1.647757530E0,7.703393459E0
1.137109283E0,3.166601658E0,2.052144527E0,7.204789162E0
1.153775949E0,3.779762506E0,2.181356907E0,7.428816795E0
1.170442615E0,3.779762506E0,2.181356907E0,7.428816795E0
1.187109281E0,5.905486107E0,3.206382275E0,7.742276669E0
1.203775947E0,5.905486107E0,3.206382275E0,7.742276669E0
1.220442613E0,6.424728870E0,2.208575249E0,7.169794083E0
