"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.367359900E-2,8.179479241E-1,5.627591908E-2,4.199695215E-2
4.801953600E-2,8.014546037E-1,1.177441850E-1,6.704241037E-2
6.468620200E-2,0.000000000E0,0.000000000E0,0.000000000E0
8.135286800E-2,0.000000000E0,0.000000000E0,0.000000000E0
9.801953400E-2,2.280816436E-1,2.879463732E-1,1.678351015E-1
1.146862000E-1,2.280816436E-1,2.879463732E-1,1.678351015E-1
1.313528660E-1,-6.940951198E-2,1.981492639E-1,1.898262352E-1
1.480195320E-1,-1.243873388E-1,9.941824526E-2,1.661552191E-1
1.646861980E-1,-1.243873388E-1,9.941824526E-2,1.661552191E-1
1.813528640E-1,-1.243873388E-1,9.941824526E-2,1.661552191E-1
1.980195300E-1,-1.423314959E-1,-2.481638081E-2,7.108938694E-2
2.146861960E-1,-1.645517051E-1,4.787652567E-2,6.192641705E-2
2.313528620E-1,-1.608865112E-1,1.321758628E-1,7.635809481E-2
2.480195280E-1,-1.085048541E-1,1.810450554E-1,9.514218569E-2
2.646861940E-1,-1.085048541E-1,1.810450554E-1,9.514218569E-2
2.813528600E-1,-1.085048541E-1,1.810450554E-1,9.514218569E-2
2.980195260E-1,-1.085048541E-1,1.810450554E-1,9.514218569E-2
3.146861920E-1,1.243873388E-1,-1.080467105E-1,6.742420048E-2
3.313528580E-1,1.462257504E-1,-1.233183295E-1,9.796743840E-2
3.480195240E-1,1.523344070E-1,-6.345357746E-2,1.172860414E-1
3.646861900E-1,1.523344070E-1,-6.345357746E-2,1.172860414E-1
3.813528560E-1,4.214967042E-2,6.253728271E-2,1.006399691E-1
3.980195220E-1,4.214967042E-2,6.253728271E-2,1.006399691E-1
4.146861880E-1,1.954767294E-2,-3.901898861E-2,1.181259751E-1
4.313528540E-1,1.183550525E-2,-6.772962958E-2,1.281288862E-1
4.480195200E-1,-1.466075517E-2,-3.840812296E-2,1.588248461E-1
4.646861860E-1,-8.941533417E-2,5.482511222E-2,2.173151523E-1
4.813528520E-1,-8.941533417E-2,5.482511222E-2,2.173151523E-1
4.980195180E-1,-7.536543906E-2,6.299543381E-2,2.478583902E-1
5.146861840E-1,-7.536543906E-2,6.299543381E-2,2.478583902E-1
5.313528500E-1,-7.559451740E-3,-5.856665969E-2,2.671769857E-1
5.480195160E-1,4.115701467E-2,-1.314886510E-1,2.784016132E-1
5.646861820E-1,4.115701467E-2,-1.314886510E-1,2.784016132E-1
5.813528480E-1,4.115701467E-2,-1.314886510E-1,2.784016132E-1
5.980195140E-1,4.115701467E-2,-1.314886510E-1,2.784016132E-1
6.146861800E-1,3.397935256E-2,-1.137735695E-2,2.296851575E-1
6.313528460E-1,3.397935256E-2,-1.137735695E-2,2.296851575E-1
6.480195120E-1,-8.590286225E-2,2.103665620E-1,2.070831656E-1
6.646861780E-1,-1.337793916E-1,2.402989268E-1,2.215912044E-1
6.813528440E-1,-1.337793916E-1,2.402989268E-1,2.215912044E-1
6.980195100E-1,-7.796161622E-2,9.819651395E-2,2.050978541E-1
7.146861760E-1,-7.796161622E-2,9.819651395E-2,2.050978541E-1
7.313528420E-1,-7.796161622E-2,9.819651395E-2,2.050978541E-1
7.480195080E-1,-2.932151034E-2,-1.781434417E-1,2.154825479E-1
7.646861740E-1,-6.658425927E-2,-1.508072466E-1,2.519053519E-1
7.813528400E-1,-1.133917719E-1,9.850194678E-3,3.691914082E-1
7.813528400E-1,-1.133917719E-1,9.850194678E-3,3.691914082E-1
8.146861720E-1,-1.062904745E-1,1.236237586E-1,5.050324798E-1
8.313528380E-1,-5.765036494E-2,6.849320978E-2,6.383537054E-1
8.480195040E-1,2.932151034E-2,-7.628174126E-2,8.059597015E-1
8.646861700E-1,2.932151034E-2,-7.628174126E-2,8.059597015E-1
8.813528360E-1,2.932151034E-2,-7.628174126E-2,8.059597015E-1
8.980195020E-1,6.269763112E-1,-6.737074852E-1,1.999589443E0
9.146861680E-1,6.269763112E-1,-6.737074852E-1,1.999589443E0
9.313528340E-1,4.522690177E-1,-4.925097227E-1,2.285092354E0
9.480195000E-1,4.522690177E-1,-4.925097227E-1,2.285092354E0
9.646861660E-1,2.195295244E-1,-2.481638193E-1,2.357174397E0
9.813528320E-1,2.195295244E-1,-2.481638193E-1,2.357174397E0
9.980194980E-1,2.195295244E-1,-2.481638193E-1,2.357174397E0
1.014686164E0,5.122864842E-1,-1.430950761E-1,2.362824917E0
1.031352830E0,5.122864842E-1,-1.430950761E-1,2.362824917E0
1.048019496E0,9.653954506E-1,-9.338594973E-2,2.319682598E0
1.064686162E0,9.653954506E-1,-9.338594973E-2,2.319682598E0
1.081352828E0,9.653954506E-1,-9.338594973E-2,2.319682598E0
1.098019494E0,9.653954506E-1,-9.338594973E-2,2.319682598E0
1.114686160E0,9.653954506E-1,-9.338594973E-2,2.319682598E0
1.131352826E0,9.653954506E-1,-9.338594973E-2,2.319682598E0
1.148019492E0,1.789833754E-1,6.135373116E-1,3.090364933E0
1.164686158E0,2.486219704E-1,2.561814189E-1,3.092655659E0
1.181352824E0,3.490328491E-1,3.100138716E-2,3.056156397E0
1.198019490E0,3.490328491E-1,3.100138716E-2,3.056156397E0
1.214686156E0,3.490328491E-1,3.100138716E-2,3.056156397E0
1.231352822E0,-6.129264235E-1,9.931133986E-1,2.131154537E0
1.248019488E0,-7.929024696E-1,1.092073560E0,1.933616042E0
1.264686154E0,-7.929024696E-1,1.092073560E0,1.933616042E0
1.281352820E0,-7.336485982E-1,1.061148524E0,1.580536246E0
1.298019486E0,-7.336485982E-1,1.061148524E0,1.580536246E0
1.314686152E0,-7.336485982E-1,1.061148524E0,1.580536246E0
1.331352818E0,7.757982612E-1,-2.369391769E-1,1.916511893E0
1.348019484E0,6.033053398E-1,3.480401933E-1,1.965610147E0
1.364686150E0,5.793288946E-1,6.495783329E-1,2.017533541E0
1.381352816E0,8.122211099E-1,1.287932038E0,1.817322731E0
1.398019482E0,8.122211099E-1,1.287932038E0,1.817322731E0
1.414686148E0,9.608902931E-1,4.977020919E-1,2.026085854E0
1.431352814E0,9.608902931E-1,4.977020919E-1,2.026085854E0
1.448019480E0,6.477457285E-1,5.190823674E-1,1.356348872E0
1.464686146E0,6.477457285E-1,5.190823674E-1,1.356348872E0
1.481352812E0,7.822887301E-1,-6.551524997E-2,1.584583282E0
1.498019478E0,7.822887301E-1,-6.551524997E-2,1.584583282E0
1.514686144E0,7.822887301E-1,-6.551524997E-2,1.584583282E0
1.531352810E0,7.822887301E-1,-6.551524997E-2,1.584583282E0
1.548019476E0,4.355465770E-1,4.869355857E-1,2.098320484E0
1.564686142E0,5.567268729E-1,-6.360629797E-1,1.829769135E0
1.581352808E0,7.828995585E-1,-1.233106971E0,1.555109024E0
