"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
7.275068200E-2,6.321227197E-1,2.060396969E-1,1.124577299E-1,7.384590507E-1,1.015861857E2,2.561330105E1,-9.330526668E0,9.674735164E1
8.941662000E-2,6.345955248E-1,2.078538984E-1,1.172403246E-1,7.350782156E-1,1.012200165E2,2.620787197E1,-9.019892737E0,9.628793132E1
1.060825570E-1,6.306384150E-1,2.061891854E-1,1.236372888E-1,7.378990650E-1,1.018055213E2,2.658191771E1,-8.531479020E0,9.694406080E1
1.227484950E-1,6.284590904E-1,2.045242637E-1,1.276908517E-1,7.395296097E-1,1.021269434E2,2.677564416E1,-8.163973027E0,9.733741287E1
1.394144320E-1,6.266655438E-1,2.016690671E-1,1.291368306E-1,7.415817976E-1,1.023909228E2,2.664968658E1,-7.889152418E0,9.773045239E1
1.560803700E-1,6.299757779E-1,2.002868503E-1,1.273477077E-1,7.394580841E-1,1.019033290E2,2.641093790E1,-7.802310134E0,9.730834349E1
1.727463070E-1,6.321314484E-1,2.002407461E-1,1.250928491E-1,7.380144000E-1,1.015848948E2,2.623093620E1,-7.898051468E0,9.699496727E1
1.894122450E-1,6.313067262E-1,1.996079087E-1,1.234599426E-1,7.391658425E-1,1.017068073E2,2.602828699E1,-8.001817390E0,9.714775238E1
2.060781820E-1,6.321570922E-1,1.979540735E-1,1.211474463E-1,7.392664552E-1,1.015811024E2,2.569862825E1,-8.019676925E0,9.709944666E1
2.227441200E-1,6.305954850E-1,1.953845173E-1,1.199507639E-1,7.414755821E-1,1.018118600E2,2.536765993E1,-7.959025036E0,9.744629418E1
2.394100570E-1,6.293648951E-1,1.937467456E-1,1.196305826E-1,7.430010438E-1,1.019934376E2,2.519364876E1,-7.893113303E0,9.770042363E1
2.560759950E-1,6.286078256E-1,1.932518482E-1,1.202139333E-1,7.436763644E-1,1.021050301E2,2.519705649E1,-7.833731370E0,9.783285544E1
2.727419320E-1,6.263647009E-1,1.928618848E-1,1.215825230E-1,7.454456687E-1,1.024351538E2,2.526403329E1,-7.771695056E0,9.817804806E1
2.894078700E-1,6.247715343E-1,1.924465299E-1,1.226745099E-1,7.467100024E-1,1.026691587E2,2.531137510E1,-7.707529509E0,9.842843299E1
3.060738070E-1,6.241312838E-1,1.925637275E-1,1.230880842E-1,7.471470237E-1,1.027630913E2,2.535130268E1,-7.706614233E0,9.851662332E1
3.227397450E-1,6.225259402E-1,1.929558665E-1,1.234001592E-1,7.483327389E-1,1.029983449E2,2.539546471E1,-7.767339074E0,9.873428025E1
3.394056820E-1,6.215691926E-1,1.938673258E-1,1.237314120E-1,7.488375902E-1,1.031383680E2,2.548935766E1,-7.847391709E0,9.883401920E1
3.560716200E-1,6.206434937E-1,1.944783926E-1,1.244879365E-1,7.493214011E-1,1.032737179E2,2.559682764E1,-7.870144018E0,9.894136213E1
3.727375570E-1,6.198294858E-1,1.947577745E-1,1.250313073E-1,7.498319745E-1,1.033926326E2,2.565972865E1,-7.878626062E0,9.904707626E1
3.894034950E-1,6.190673265E-1,1.947862059E-1,1.251672655E-1,7.504312992E-1,1.035038847E2,2.566679757E1,-7.895884723E0,9.915678962E1
4.060694320E-1,6.183328101E-1,1.950856894E-1,1.248466522E-1,7.510122657E-1,1.036110212E2,2.565549546E1,-7.968573885E0,9.925127451E1
4.227353700E-1,6.158470592E-1,1.952556819E-1,1.246943325E-1,7.530331612E-1,1.039730101E2,2.563160095E1,-8.075780752E0,9.960588765E1
4.394013070E-1,6.115958220E-1,1.950060725E-1,1.248435900E-1,7.565297484E-1,1.045900381E2,2.558330689E1,-8.183746663E0,1.002332285E2
4.560672450E-1,6.073794112E-1,1.945095062E-1,1.247898638E-1,7.600551248E-1,1.051994848E2,2.549728797E1,-8.284372780E0,1.008640549E2
4.727331820E-1,6.059725056E-1,1.940293461E-1,1.240522340E-1,7.614203691E-1,1.054022897E2,2.537890803E1,-8.344882933E0,1.010891565E2
