"Time (s)","Pressure (hPa)"
1.685136510E-1,9.997423706E2
2.085133900E-1,9.997516479E2
2.485098490E-1,9.997650757E2
2.885149010E-1,9.997714233E2
3.285172970E-1,9.997675171E2
3.685137030E-1,9.997675171E2
4.085133900E-1,9.997621460E2
4.485095360E-1,9.997584839E2
4.885103700E-1,9.997684937E2
5.285134420E-1,9.997699585E2
5.687174530E-1,9.997772827E2
6.085134420E-1,9.997855835E2
6.485131300E-1,9.997863159E2
6.885100570E-1,9.997870483E2
7.285152130E-1,9.997951050E2
7.685216200E-1,9.997875366E2
8.085146400E-1,9.997914429E2
8.485134420E-1,9.997960815E2
8.885146920E-1,9.998109741E2
9.285142760E-1,9.998258667E2
9.685245360E-1,9.998307495E2
1.008513442E0,9.998239136E2
1.048511099E0,9.998234253E2
1.088513703E0,9.998214722E2
1.128509849E0,9.998099976E2
1.168513651E0,9.997936401E2
1.208520161E0,9.997809448E2
1.248513182E0,9.997604370E2
1.288515005E0,9.997509155E2
1.328509536E0,9.997611694E2
1.368513651E0,9.997667847E2
1.408503859E0,9.997572632E2
1.448513755E0,9.997448120E2
1.488513703E0,9.997343140E2
1.528513755E0,9.997308960E2
1.568513703E0,9.997465210E2
1.608524745E0,9.997687378E2
1.648515317E0,9.997904663E2
1.688514953E0,9.997960815E2
1.728513703E0,9.998034058E2
1.768514953E0,9.998002319E2
1.808513651E0,9.997885132E2
1.848506515E0,9.997611694E2
1.888515109E0,9.997555542E2
1.928520838E0,9.997584839E2
1.968522713E0,9.997538452E2
2.008513495E0,9.997550659E2
2.048513703E0,9.997582397E2
2.088510109E0,9.997680054E2
2.128511047E0,9.997719116E2
2.168515005E0,9.997836304E2
2.208514484E0,9.997890015E2
2.248513755E0,9.997782593E2
2.288513390E0,9.997799683E2
2.328510057E0,9.997868042E2
2.368514901E0,9.997931519E2
2.408734588E0,9.998068237E2
2.448513442E0,9.998029175E2
2.488513442E0,9.997997437E2
2.528517192E0,9.998048706E2
2.568520630E0,9.998038940E2
2.608514484E0,9.998073120E2
2.648511047E0,9.998031616E2
2.688516255E0,9.998002319E2
2.728515161E0,9.997975464E2
2.768514640E0,9.998002319E2
2.808514640E0,9.998007202E2
2.848513182E0,9.998114624E2
2.888511099E0,9.998090210E2
2.928511099E0,9.998092651E2
2.968515109E0,9.998148804E2
3.008513442E0,9.998065796E2
3.048513651E0,9.998009644E2
3.088509797E0,9.998034058E2
3.128514484E0,9.998129272E2
3.168501151E0,9.998024292E2
3.208514692E0,9.998016968E2
3.248520942E0,9.998134155E2
3.288518807E0,9.998273315E2
3.328513703E0,9.998417358E2
3.368513495E0,9.998412476E2
3.408509536E0,9.998451538E2
3.448514224E0,9.998561401E2
3.488514588E0,9.998632202E2
3.528515526E0,9.998661499E2
3.568513234E0,9.998673706E2
3.608513495E0,9.998632202E2
3.648513755E0,9.998561401E2
3.688514953E0,9.998585815E2
3.728557192E0,9.998786011E2
3.768514901E0,9.999149780E2
3.808515005E0,9.999288940E2
3.848509797E0,9.999613647E2
3.888515734E0,9.999696655E2
3.928513911E0,9.999213257E2
3.968514224E0,9.998644409E2
4.008513755E0,9.998346558E2
4.048513703E0,9.998353882E2
4.088509797E0,9.998317261E2
4.128514276E0,9.998229370E2
4.168515109E0,9.998016968E2
4.208513755E0,9.997909546E2
4.248513234E0,9.998058472E2
4.288509797E0,9.997936401E2
4.328514224E0,9.997824097E2
4.368513651E0,9.997831421E2
4.408515005E0,9.997999878E2
4.448513182E0,9.997953491E2
4.488513755E0,9.998139038E2
4.528511047E0,9.998761597E2
4.568515422E0,9.999183960E2
4.608516203E0,9.999110718E2
4.648513182E0,9.999064331E2
4.688513390E0,9.998812866E2
4.728510995E0,9.998610229E2
4.768515213E0,9.998683472E2
4.808523234E0,9.998893433E2
4.848513442E0,9.998815308E2
4.888513442E0,9.998817749E2
4.928514901E0,9.999164429E2
4.968509745E0,9.999345093E2
5.008514692E0,9.999503784E2
5.048522870E0,9.999811401E2
5.088513390E0,1.000020447E3
5.128514432E0,1.000007996E3
5.168509797E0,1.000030457E3
5.208513495E0,1.000047058E3
5.248499640E0,1.000050964E3
5.288528338E0,1.000043884E3
5.328514901E0,1.000012634E3
5.368513963E0,9.999535522E2
5.408513911E0,9.998922729E2
5.448521567E0,9.998527222E2
5.488526203E0,9.998671265E2
5.528514953E0,9.999159546E2
5.568513442E0,9.998759155E2
5.608510109E0,9.998397827E2
5.648514276E0,9.998165894E2
5.688504120E0,9.997777710E2
5.728515161E0,9.996928101E2
5.768513495E0,9.996727905E2
5.808513442E0,9.996659546E2
5.848513755E0,9.996705933E2
5.888524276E0,9.996632690E2
5.928515682E0,9.996683960E2
5.968513130E0,9.996730347E2
6.008513963E0,9.996884155E2
6.048513963E0,9.997182007E2
6.088515734E0,9.997426147E2
6.128501047E0,9.997418823E2
6.168527557E0,9.997501831E2
6.208513703E0,9.997570190E2
6.248513390E0,9.997606812E2
6.288513390E0,9.997726440E2
6.328524276E0,9.997997437E2
6.368516463E0,9.998422241E2
6.408513442E0,9.998793335E2
6.448512922E0,9.999052124E2
6.488513442E0,9.999249878E2
6.528515474E0,9.999777222E2
6.568504640E0,1.000027527E3
6.608529276E0,1.000040955E3
6.648513442E0,1.000031433E3
6.688509745E0,9.999906616E2
6.728509849E0,9.999623413E2
6.768513703E0,9.999396362E2
6.808527765E0,9.999220581E2
6.848509849E0,9.998895874E2
6.888513182E0,9.998270874E2
6.928509797E0,9.998043823E2
6.968514224E0,9.997973022E2
7.008501672E0,9.998117065E2
7.048513651E0,9.997694702E2
7.088513442E0,9.997286987E2
7.128513703E0,9.997074585E2
7.168513963E0,9.997003784E2
7.208514953E0,9.996913452E2
7.248520161E0,9.996986694E2
7.288513130E0,9.996991577E2
7.328513599E0,9.997084351E2
7.368513963E0,9.997113647E2
7.408514432E0,9.997172241E2
7.448502817E0,9.997223511E2
7.488513390E0,9.997533569E2
7.528513963E0,9.998060913E2
7.568513703E0,9.998598022E2
7.608509797E0,9.999376831E2
7.648501255E0,9.999474487E2
7.688513442E0,9.999140015E2
7.728513182E0,9.999169312E2
7.768513442E0,9.998729858E2
7.808509484E0,9.998346558E2
7.848514901E0,9.998546753E2
7.888502036E0,9.998339233E2
7.928509692E0,9.998124390E2
7.968509484E0,9.998051147E2
8.008509536E0,9.998097534E2
8.048509797E0,9.998126831E2
8.088523130E0,9.998278198E2
8.128523755E0,9.998925171E2
8.168513442E0,9.999425659E2
8.208513703E0,9.999833374E2
8.248513755E0,1.000027283E3
8.288515422E0,1.000011169E3
8.328501359E0,9.999669800E2
8.368513390E0,9.999044800E2
8.408513442E0,9.998595581E2
8.448513599E0,9.998488159E2
8.488519276E0,9.998707886E2
8.528524484E0,9.998707886E2
8.568518390E0,9.998434448E2
8.608512922E0,9.998341675E2
8.648513703E0,9.998324585E2
8.688509745E0,9.998627319E2
8.728515682E0,9.999303589E2
8.768536828E0,9.999740601E2
8.808513338E0,9.999884644E2
8.848513390E0,1.000023621E3
8.888513338E0,9.999901733E2
8.928513338E0,9.999767456E2
8.968514692E0,9.999223022E2
9.008527817E0,9.998954468E2
9.048509484E0,9.999271851E2
9.088513234E0,9.999078979E2
9.128509745E0,9.998876343E2
9.168515161E0,9.998549194E2
9.208541620E0,9.998600464E2
9.248513442E0,9.998527222E2
9.288513755E0,9.999440308E2
9.328509797E0,9.999601440E2
9.368511047E0,1.000004822E3
9.408514953E0,1.000002136E3
9.448513651E0,9.999823608E2
9.488513390E0,9.999503784E2
9.528513182E0,1.000010193E3
9.568513963E0,1.000017273E3
9.608515942E0,9.999965210E2
9.648515890E0,9.999454956E2
9.688513442E0,9.999081421E2
9.728509745E0,9.999015503E2
9.768513651E0,9.999508667E2
9.808514640E0,9.999188843E2
9.848515005E0,9.999166870E2
9.888515213E0,9.999547729E2
9.928509484E0,1.000001648E3
9.968513390E0,1.000017761E3
1.000851365E1,9.999926147E2
1.004851521E1,1.000017273E3
1.008878396E1,1.000041931E3
1.012850980E1,1.000009705E3
1.016851344E1,9.999633179E2
1.020850974E1,9.999379272E2
1.024851516E1,9.999227905E2
1.028851490E1,1.000019958E3
1.032851594E1,1.000003357E3
1.036851339E1,9.999789429E2
1.040851344E1,9.999699097E2
1.044851339E1,9.999564819E2
1.048851490E1,9.999376831E2
1.052864589E1,9.999335327E2
1.056851350E1,9.999442749E2
1.060851344E1,9.999303589E2
1.064851006E1,9.999210815E2
1.068851516E1,9.999279175E2
1.072851907E1,1.000036560E3
1.076851615E1,1.000020447E3
1.080851350E1,9.999806519E2
1.084851344E1,9.999772339E2
1.088851511E1,9.999577026E2
1.092851100E1,9.999677124E2
1.096865797E1,9.999537964E2
1.100850975E1,9.999501343E2
1.104851334E1,9.999537964E2
1.108850985E1,9.999694214E2
1.112851006E1,1.000015076E3
1.116851865E1,9.999852905E2
1.120851594E1,1.000008972E3
1.124851344E1,1.000008972E3
1.128851344E1,1.000012146E3
1.132851006E1,1.000094421E3
1.136851339E1,1.000104675E3
1.140859563E1,1.000077332E3
