"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.747243000E-3,-5.138885498E0,5.765805244E0,4.530510426E0
2.408802500E-2,-4.729115009E0,5.982056618E0,7.759923935E0
4.075469100E-2,0.000000000E0,0.000000000E0,0.000000000E0
5.742135700E-2,0.000000000E0,0.000000000E0,0.000000000E0
7.408802300E-2,0.000000000E0,0.000000000E0,0.000000000E0
9.075468900E-2,-4.094119549E0,4.776971340E0,6.474977970E0
1.074213550E-1,-4.631607533E0,4.449752808E0,6.209374905E0
1.240880210E-1,-4.823930264E0,4.284647942E0,6.934400082E0
1.407546870E-1,-4.823930264E0,4.284647942E0,6.934400082E0
1.574213530E-1,-4.823930264E0,4.284647942E0,6.934400082E0
1.740880190E-1,-4.823930264E0,4.284647942E0,6.934400082E0
1.907546850E-1,-2.584248543E0,5.263312340E0,8.688339233E0
2.074213510E-1,-2.719742060E0,5.205286503E0,8.891729355E0
2.240880170E-1,-2.973381281E0,5.044070244E0,9.438788414E0
2.407546830E-1,-2.973381281E0,5.044070244E0,9.438788414E0
2.574213490E-1,-2.973381281E0,5.044070244E0,9.438788414E0
2.740880150E-1,-3.538087368E0,4.843970299E0,7.852346420E0
2.907546810E-1,-3.538087368E0,4.843970299E0,7.852346420E0
3.074213470E-1,-3.030210733E0,5.422136307E0,8.193922043E0
3.240880130E-1,-3.030210733E0,5.422136307E0,8.193922043E0
3.407546790E-1,-3.030210733E0,5.422136307E0,8.193922043E0
3.574213450E-1,-3.030210733E0,5.422136307E0,8.193922043E0
3.740880110E-1,-3.599702597E0,4.010370731E0,7.989634991E0
3.907546770E-1,-3.353241920E0,4.306183338E0,8.006384850E0
4.074213430E-1,-2.830709219E0,4.673182487E0,8.388339043E0
4.240880090E-1,-2.449352980E0,4.870889664E0,8.671588898E0
4.407546750E-1,-2.449352980E0,4.870889664E0,8.671588898E0
4.574213410E-1,-2.449352980E0,4.870889664E0,8.671588898E0
4.740880070E-1,-2.590529680E0,4.393222332E0,7.824530125E0
4.907546730E-1,-2.590529680E0,4.393222332E0,7.824530125E0
5.074213390E-1,-2.378465652E0,4.641178608E0,7.380960464E0
5.240880050E-1,-2.261217356E0,4.847858906E0,7.105785847E0
5.407546710E-1,-2.261217356E0,4.847858906E0,7.105785847E0
5.574213370E-1,-2.261217356E0,4.847858906E0,7.105785847E0
5.740880030E-1,-2.261217356E0,4.847858906E0,7.105785847E0
5.907546690E-1,-2.039582253E0,3.984946966E0,8.369195938E0
6.074213350E-1,-2.039582253E0,3.984946966E0,8.369195938E0
6.240880010E-1,-2.133500576E0,3.352344513E0,8.906085968E0
6.407546670E-1,-2.133500576E0,3.352344513E0,8.906085968E0
6.574213330E-1,-2.133500576E0,3.352344513E0,8.906085968E0
6.740879990E-1,-4.468895435E0,6.978068948E-1,9.252147675E0
6.907546650E-1,-4.468895435E0,6.978068948E-1,9.252147675E0
7.074213310E-1,-4.597509384E0,-2.958126962E-1,9.378369331E0
7.240879970E-1,-5.234598637E0,-5.943173170E-1,9.197113037E0
7.407546630E-1,-5.043172836E0,-2.521436810E-1,8.321339607E0
7.574213290E-1,-5.043172836E0,-2.521436810E-1,8.321339607E0
7.740879950E-1,-5.043172836E0,-2.521436810E-1,8.321339607E0
7.907546610E-1,-5.043172836E0,-2.521436810E-1,8.321339607E0
8.074213270E-1,2.321037948E-1,4.019044876E0,1.090020466E1
8.240879930E-1,1.261017561E0,5.552245617E0,1.332951736E1
8.407546590E-1,2.941676378E0,8.555238724E0,1.690289879E1
8.574213250E-1,2.941676378E0,8.555238724E0,1.690289879E1
8.740879910E-1,4.606183529E0,1.059691429E1,1.301067448E1
8.907546570E-1,4.606183529E0,1.059691429E1,1.301067448E1
9.074213230E-1,5.703591824E0,7.398607731E0,7.944170952E0
9.240879890E-1,5.703591824E0,7.398607731E0,7.944170952E0
9.407546550E-1,3.501596928E0,4.712365150E0,2.330609322E0
9.574213210E-1,3.501596928E0,4.712365150E0,2.330609322E0
9.740879870E-1,3.501596928E0,4.712365150E0,2.330609322E0
9.907546530E-1,3.501596928E0,4.712365150E0,2.330609322E0
1.007421319E0,3.501596928E0,4.712365150E0,2.330609322E0
1.024087985E0,-1.201585770E1,-6.643373013E0,9.074481010E0
1.040754651E0,-1.107248783E1,-7.622037411E0,8.595019341E0
1.057421317E0,-1.107248783E1,-7.622037411E0,8.595019341E0
1.074087983E0,-1.107248783E1,-7.622037411E0,8.595019341E0
1.090754649E0,-1.107248783E1,-7.622037411E0,8.595019341E0
1.107421315E0,-1.107248783E1,-7.622037411E0,8.595019341E0
1.124087981E0,-2.018944174E-1,2.031506538E0,3.684049606E0
1.140754647E0,2.234298140E-1,3.578765392E0,2.349751949E0
1.157421313E0,2.234298140E-1,3.578765392E0,2.349751949E0
1.174087979E0,2.234298140E-1,3.578765392E0,2.349751949E0
1.190754645E0,2.234298140E-1,3.578765392E0,2.349751949E0
1.207421311E0,3.517449200E-1,3.707977772E0,1.362084389E1
1.224087977E0,3.215355575E-1,3.820440531E0,1.293470192E1
1.240754643E0,-1.100698411E-1,3.676871061E0,1.172961617E1
1.257421309E0,-1.100698411E-1,3.676871061E0,1.172961617E1
1.274087975E0,-1.100698411E-1,3.676871061E0,1.172961617E1
1.290754641E0,-1.100698411E-1,3.676871061E0,1.172961617E1
