"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.731370200E-2,-1.184466839E0,-1.032896042E0,-6.543888897E-2
5.165375400E-2,-1.270216942E0,-5.432115197E-1,-6.589704007E-2
6.832042000E-2,-1.314199209E0,-2.689332068E-1,-1.179732606E-1
8.498708600E-2,-1.246545911E0,-3.434587121E-1,-1.725693047E-1
1.016537520E-1,-1.186528444E0,-6.150645018E-1,-1.466839015E-1
1.183204180E-1,-1.186528444E0,-6.150645018E-1,-1.466839015E-1
1.349870840E-1,-1.167973399E0,-1.076114655E0,2.401462197E-1
1.516537500E-1,-1.054581642E0,-1.005636096E0,3.849211633E-1
1.683204160E-1,-1.054581642E0,-1.005636096E0,3.849211633E-1
1.849870820E-1,-1.054581642E0,-1.005636096E0,3.849211633E-1
2.016537480E-1,-3.235292733E-1,-8.663589954E-1,6.994401664E-2
2.183204140E-1,-1.826485693E-1,-7.814487815E-1,-1.840230078E-2
2.349870800E-1,-1.771507785E-2,-6.552288532E-1,-5.383246019E-2
2.516537460E-1,-1.771507785E-2,-6.552288532E-1,-5.383246019E-2
2.683204120E-1,-1.771507785E-2,-6.552288532E-1,-5.383246019E-2
2.849870780E-1,-1.771507785E-2,-6.552288532E-1,-5.383246019E-2
3.016537440E-1,-1.771507785E-2,-6.552288532E-1,-5.383246019E-2
3.183204100E-1,-1.771507785E-2,-6.552288532E-1,-5.383246019E-2
3.349870760E-1,7.307469845E-2,-5.014436245E-1,-1.731801629E-1
3.516537420E-1,1.146135032E-1,-4.318050444E-1,-1.466839015E-1
3.683204080E-1,1.146135032E-1,-4.318050444E-1,-1.466839015E-1
3.849870740E-1,1.282816082E-1,-3.713294268E-1,3.226129711E-1
4.016537400E-1,1.282816082E-1,-3.713294268E-1,3.226129711E-1
4.183204060E-1,1.132390574E-1,-4.762454629E-1,3.733147383E-1
4.349870720E-1,1.230128929E-1,-4.185950756E-1,2.968039215E-1
4.516537380E-1,1.164461002E-1,-3.450622559E-1,2.169333547E-1
4.683204040E-1,1.164461002E-1,-3.450622559E-1,2.169333547E-1
4.849870700E-1,1.164461002E-1,-3.450622559E-1,2.169333547E-1
5.016537360E-1,1.164461002E-1,-3.450622559E-1,2.169333547E-1
5.183204020E-1,-1.185077652E-1,-2.966512144E-1,3.708712757E-1
5.349870680E-1,-2.333503515E-1,-4.255436659E-1,3.167333901E-1
5.516537340E-1,-3.765217662E-1,-5.672643185E-1,2.939023077E-1
5.683204000E-1,-3.765217662E-1,-5.672643185E-1,2.939023077E-1
5.849870660E-1,-3.765217662E-1,-5.672643185E-1,2.939023077E-1
