"Time (s)","Pressure (hPa)"
1.707982330E-1,1.002172302E3
2.107826600E-1,1.002178162E3
2.507958370E-1,1.002195007E3
2.907834930E-1,1.002203308E3
3.313166180E-1,1.002210876E3
3.708003160E-1,1.002214294E3
4.107845870E-1,1.002217468E3
4.507833370E-1,1.002218933E3
4.907970350E-1,1.002222839E3
5.307834410E-1,1.002216736E3
5.707987540E-1,1.002224792E3
6.107846390E-1,1.002226990E3
6.507840140E-1,1.002219666E3
6.907828680E-1,1.002216003E3
7.307975560E-1,1.002208923E3
7.709433890E-1,1.002216248E3
8.108123480E-1,1.002226501E3
8.507976600E-1,1.002250183E3
8.907969830E-1,1.002263611E3
9.308594830E-1,1.002272888E3
9.707994830E-1,1.002258728E3
1.010798337E0,1.002280212E3
1.050797868E0,1.002298279E3
1.091025733E0,1.002314880E3
1.130793389E0,1.002318054E3
1.170796462E0,1.002311707E3
1.211096358E0,1.002311462E3
1.250798441E0,1.002320740E3
1.290783806E0,1.002324402E3
1.330795733E0,1.002328064E3
1.370943233E0,1.002316345E3
1.410801827E0,1.002317566E3
1.450783181E0,1.002340271E3
1.490783754E0,1.002335144E3
1.530784379E0,1.002322937E3
1.570784535E0,1.002299255E3
1.610784066E0,1.002241882E3
1.650805577E0,1.002205505E3
1.690795629E0,1.002195984E3
1.730783546E0,1.002205261E3
1.770783546E0,1.002205017E3
1.810807139E0,1.002205750E3
1.851797921E0,1.002192810E3
1.890797660E0,1.002180115E3
1.930797921E0,1.002177185E3
1.971116931E0,1.002179871E3
2.010786983E0,1.002180115E3
2.050785941E0,1.002181091E3
2.090798910E0,1.002180603E3
2.130810889E0,1.002188416E3
2.170825993E0,1.002203796E3
2.210807400E0,1.002212585E3
2.250783546E0,1.002216736E3
2.291515993E0,1.002211121E3
2.330799848E0,1.002209412E3
2.371126358E0,1.002197205E3
2.410805525E0,1.002196228E3
2.450797921E0,1.002187927E3
2.490802400E0,1.002188416E3
2.530803181E0,1.002188660E3
2.570797296E0,1.002184753E3
2.611313337E0,1.002194763E3
2.650797348E0,1.002191101E3
2.690784327E0,1.002192566E3
2.730883754E0,1.002177917E3
2.770797660E0,1.002172058E3
2.811240264E0,1.002176697E3
2.850792087E0,1.002185486E3
2.890797556E0,1.002191101E3
2.930784171E0,1.002207947E3
2.970798441E0,1.002218201E3
3.010784379E0,1.002232605E3
3.050788598E0,1.002248230E3
3.090797035E0,1.002264587E3
3.130792764E0,1.002282166E3
3.170938389E0,1.002297302E3
3.210809014E0,1.002326599E3
3.250784118E0,1.002324402E3
3.290793129E0,1.002323425E3
3.330784431E0,1.002324402E3
3.371116150E0,1.002327087E3
3.410797243E0,1.002336609E3
3.450809171E0,1.002355652E3
3.490784327E0,1.002359314E3
3.530783650E0,1.002385681E3
3.570784014E0,1.002381531E3
3.610803181E0,1.002381042E3
3.650784379E0,1.002387390E3
3.690783441E0,1.002388611E3
3.730791306E0,1.002388367E3
3.770783962E0,1.002400085E3
3.811201931E0,1.002470154E3
3.850798181E0,1.002533142E3
3.890797764E0,1.002566833E3
3.930784118E0,1.002543884E3
3.970783910E0,1.002436462E3
4.010783754E0,1.002317078E3
4.050798546E0,1.002239441E3
4.090797452E0,1.002309998E3
4.132380889E0,1.002314148E3
4.170825577E0,1.002262878E3
4.210791723E0,1.002244080E3
4.251374118E0,1.002229919E3
4.290800160E0,1.002177185E3
4.332427504E0,1.002106873E3
4.370797973E0,1.002053894E3
4.410813233E0,1.002046326E3
4.450789275E0,1.002072693E3
4.490784327E0,1.002112000E3
4.530784275E0,1.002145447E3
4.570806566E0,1.002198669E3
4.610797556E0,1.002244812E3
4.650784223E0,1.002243347E3
4.690797035E0,1.002211609E3
4.730783910E0,1.002212830E3
4.770796254E0,1.002213318E3
4.810798389E0,1.002209167E3
4.850797400E0,1.002220398E3
4.890797816E0,1.002226013E3
4.930796827E0,1.002205505E3
4.970783858E0,1.002187927E3
5.011568077E0,1.002185242E3
5.050797191E0,1.002167908E3
5.091269587E0,1.002131042E3
5.130795264E0,1.002086853E3
5.170789483E0,1.002064636E3
5.210781202E0,1.002064636E3
5.250793650E0,1.002093689E3
5.290793702E0,1.002153992E3
5.330789743E0,1.002198425E3
5.370788546E0,1.002234558E3
5.410792348E0,1.002266541E3
5.450793650E0,1.002289490E3
5.490780316E0,1.002327820E3
5.530789743E0,1.002343689E3
5.570791254E0,1.002311462E3
5.610790004E0,1.002264587E3
5.650928285E0,1.002201111E3
5.690793546E0,1.002155701E3
5.730790525E0,1.002103455E3
5.770794327E0,1.002056335E3
5.810780993E0,1.002046570E3
5.850780473E0,1.002065613E3
5.890799118E0,1.002080994E3
5.930784952E0,1.002099304E3
5.970784535E0,1.002105408E3
6.010830733E0,1.002102722E3
6.050800108E0,1.002094666E3
6.091280368E0,1.002101013E3
6.130783858E0,1.002133240E3
6.170786775E0,1.002138611E3
6.211430941E0,1.002139343E3
6.250798129E0,1.002149841E3
6.290978389E0,1.002251160E3
6.330797243E0,1.002266541E3
6.370796671E0,1.002241638E3
6.410783181E0,1.002237976E3
6.450799014E0,1.002249451E3
6.490797816E0,1.002244324E3
6.530829171E0,1.002242615E3
6.570798858E0,1.002250671E3
6.610786618E0,1.002257019E3
6.651038233E0,1.002269958E3
6.690798754E0,1.002277283E3
6.731175525E0,1.002283630E3
6.770800993E0,1.002272156E3
6.810797139E0,1.002241394E3
6.851746879E0,1.002202087E3
6.890798233E0,1.002187439E3
6.930797921E0,1.002169617E3
6.970799431E0,1.002143982E3
7.010797921E0,1.002117615E3
7.051301462E0,1.002109314E3
7.090822191E0,1.002103455E3
7.130797139E0,1.002148865E3
7.170926462E0,1.002153992E3
7.210813233E0,1.002177917E3
7.250801358E0,1.002230896E3
7.291677868E0,1.002276062E3
7.330798493E0,1.002295593E3
7.370796983E0,1.002293884E3
7.410853598E0,1.002433289E3
7.450800681E0,1.002556335E3
7.490783546E0,1.002671814E3
7.530824431E0,1.002768005E3
7.570799848E0,1.002769958E3
7.611246879E0,1.002608093E3
7.650802556E0,1.002370300E3
7.690783493E0,1.002178650E3
7.730924066E0,1.002046814E3
7.770807400E0,1.002157898E3
7.810797921E0,1.002042175E3
7.850783441E0,1.001992615E3
7.890797608E0,1.001988220E3
7.930792921E0,1.001958435E3
7.970806410E0,1.001994812E3
8.010797556E0,1.001959167E3
8.050920264E0,1.001988220E3
8.090783233E0,1.001950867E3
8.130872452E0,1.001927429E3
8.171309118E0,1.002152527E3
8.210806723E0,1.002230896E3
8.251470837E0,1.002284607E3
8.290799952E0,1.002263855E3
8.330798181E0,1.002146667E3
8.370785473E0,1.002055603E3
8.410798181E0,1.002004822E3
8.450813962E0,1.001950623E3
8.490880421E0,1.001931091E3
8.531074587E0,1.001994812E3
8.571264796E0,1.001977966E3
8.610806462E0,1.001969177E3
8.650797556E0,1.002059021E3
8.691006462E0,1.002041687E3
8.730798441E0,1.002082214E3
8.770783285E0,1.002072693E3
8.811290212E0,1.002020935E3
8.850800212E0,1.002025818E3
8.890811931E0,1.002205994E3
8.930991150E0,1.002295593E3
8.970799223E0,1.002351501E3
9.010783389E0,1.002350525E3
9.050798337E0,1.002203552E3
9.090804379E0,1.002079285E3
9.131002243E0,1.002035828E3
9.170801046E0,1.001964294E3
9.210784900E0,1.002084900E3
9.251608389E0,1.002003601E3
9.290797816E0,1.001949402E3
9.330797660E0,1.001953064E3
9.371087764E0,1.001946960E3
9.410800525E0,1.002006531E3
9.450802608E0,1.002069519E3
9.490799171E0,1.002139587E3
9.530800577E0,1.002101746E3
9.570783702E0,1.002012878E3
9.610817035E0,1.001978455E3
9.650783546E0,1.002231384E3
9.691365785E0,1.002387878E3
9.730804483E0,1.002462097E3
9.771010733E0,1.002500427E3
9.810783546E0,1.002305847E3
9.850792243E0,1.002111267E3
9.890797139E0,1.002035339E3
9.930800785E0,1.001942810E3
9.970797556E0,1.001884705E3
1.001088917E1,1.001863953E3
1.005080724E1,1.002122009E3
1.009094433E1,1.002063416E3
1.013097313E1,1.002052917E3
1.017079875E1,1.002213318E3
1.021094547E1,1.002083923E3
1.025079735E1,1.002068298E3
1.029080052E1,1.001989685E3
1.033150365E1,1.001903748E3
1.037081464E1,1.002106628E3
1.041079704E1,1.002465759E3
1.045120240E1,1.002504822E3
1.049086964E1,1.002508484E3
1.053078615E1,1.002279724E3
1.057094740E1,1.002194519E3
1.061080016E1,1.001996521E3
1.065083610E1,1.001862732E3
1.069081089E1,1.001806091E3
1.073082605E1,1.001826599E3
1.077106672E1,1.001808777E3
1.081079839E1,1.001798279E3
1.085081485E1,1.001876892E3
1.089080266E1,1.001886902E3
1.093079886E1,1.001863708E3
1.097078323E1,1.001828308E3
1.101079756E1,1.002135193E3
1.105081297E1,1.002229431E3
1.109084756E1,1.002277527E3
1.113079808E1,1.002156189E3
1.117118844E1,1.002060730E3
1.121146042E1,1.001975769E3
1.125080063E1,1.001905457E3
1.129126490E1,1.001875916E3
1.133079771E1,1.002285828E3
1.137080058E1,1.002204285E3
1.141078370E1,1.002132263E3
1.145079803E1,1.002081238E3
1.149081698E1,1.002051941E3
1.153078407E1,1.002155701E3
1.157079985E1,1.002149109E3
1.161078443E1,1.002060242E3
1.165103823E1,1.002058533E3
1.169080787E1,1.002253113E3
1.173130709E1,1.002354431E3
1.177080506E1,1.002347107E3
1.181079276E1,1.002232361E3
1.185078334E1,1.002152283E3
1.189080891E1,1.002065125E3
1.193078422E1,1.001984314E3
1.197123355E1,1.001948425E3
1.201080011E1,1.002290710E3
1.205078573E1,1.002190613E3
1.209080000E1,1.002181824E3
1.213079808E1,1.002150330E3
1.217094886E1,1.002103455E3
1.221083605E1,1.002142517E3
1.225080396E1,1.002135925E3
1.229169308E1,1.002056580E3
1.233080032E1,1.002154480E3
1.237079672E1,1.002341003E3
1.241079771E1,1.002394714E3
1.245079928E1,1.002404236E3
1.249078407E1,1.002267029E3
1.253083933E1,1.002179138E3
1.257080667E1,1.002067322E3
1.261083214E1,1.001997009E3
1.265079740E1,1.002053406E3
1.269078454E1,1.002073669E3
1.273148386E1,1.002046814E3
1.277079756E1,1.002041199E3
1.281079719E1,1.002075378E3
1.285108578E1,1.002081482E3
1.289079943E1,1.002105164E3
1.293078704E1,1.002081970E3
1.297079881E1,1.002039978E3
1.301079875E1,1.002280212E3
1.305131422E1,1.002388367E3
1.309080167E1,1.002405457E3
1.313078407E1,1.002326843E3
1.317117105E1,1.002203064E3
1.321079875E1,1.002119080E3
1.325249026E1,1.002060974E3
1.329080646E1,1.002042664E3
1.333079594E1,1.002290466E3
1.337078329E1,1.002212830E3
1.341080068E1,1.002133972E3
1.345079678E1,1.002109802E3
1.349078422E1,1.002107117E3
1.353079803E1,1.002150574E3
1.357078563E1,1.002158875E3
1.361096964E1,1.002104675E3
1.365079844E1,1.002125183E3
1.369093584E1,1.002233093E3
1.373078381E1,1.002285339E3
1.377078365E1,1.002273132E3
1.381168605E1,1.002174500E3
1.385080651E1,1.002127380E3
1.389080178E1,1.002086121E3
1.393078579E1,1.002029968E3
1.397081584E1,1.002078796E3
1.401078396E1,1.002083435E3
1.405079865E1,1.002058777E3
1.409079792E1,1.002034851E3
1.413096787E1,1.002055359E3
1.417080651E1,1.002104187E3
1.421078339E1,1.002117371E3
1.425155282E1,1.002128357E3
1.429080495E1,1.002074402E3
1.433124610E1,1.002154968E3
1.437102219E1,1.002277039E3
1.441080167E1,1.002348083E3
1.445080631E1,1.002299011E3
1.449082162E1,1.002178406E3
1.453079730E1,1.002131531E3
1.457078511E1,1.002061218E3
