"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.695453600E-2,-1.563813835E-1,3.104720116E-1,-6.475166976E-2
4.129688000E-2,1.056796089E-1,3.047451675E-1,1.055268943E-1
5.796354600E-2,0.000000000E0,0.000000000E0,0.000000000E0
7.463021200E-2,0.000000000E0,0.000000000E0,0.000000000E0
9.129687800E-2,-2.384663373E-1,-1.865428388E-1,3.333794475E-1
1.079635440E-1,-2.384663373E-1,-1.865428388E-1,3.333794475E-1
1.246302100E-1,-4.624246359E-1,1.107192412E-1,1.859319657E-1
1.412968760E-1,-5.442805290E-1,4.277580678E-1,1.498909444E-1
1.579635420E-1,-5.442805290E-1,4.277580678E-1,1.498909444E-1
1.746302080E-1,-5.442805290E-1,4.277580678E-1,1.498909444E-1
1.912968740E-1,-4.544833899E-1,7.853430510E-1,2.131918073E-1
2.079635400E-1,-4.544833899E-1,7.853430510E-1,2.131918073E-1
2.246302060E-1,-1.848629564E-1,2.286161482E-1,1.116355360E-1
2.412968720E-1,-1.187368408E-1,5.047270283E-2,1.178968996E-1
2.579635380E-1,-3.459021822E-2,1.298851222E-1,5.726857483E-2
2.746302040E-1,-3.459021822E-2,1.298851222E-1,5.726857483E-2
2.912968700E-1,-3.245982826E-1,2.854265571E-1,-2.463312149E-1
3.079635360E-1,-3.245982826E-1,2.854265571E-1,-2.463312149E-1
3.246302020E-1,-4.978547990E-1,6.277399063E-1,-2.993237376E-1
3.412968680E-1,-3.766745031E-1,4.556287527E-1,-1.912006736E-1
3.579635340E-1,-3.766745031E-1,4.556287527E-1,-1.912006736E-1
3.746302000E-1,-3.766745031E-1,4.556287527E-1,-1.912006736E-1
3.912968660E-1,-3.766745031E-1,4.556287527E-1,-1.912006736E-1
4.079635320E-1,8.674279600E-2,-2.030361742E-1,7.151699662E-1
4.246301980E-1,2.284634262E-1,-2.305250913E-1,8.637627959E-1
4.412968640E-1,1.755472720E-1,-3.297142684E-1,1.078023672E0
4.579635300E-1,1.755472720E-1,-3.297142684E-1,1.078023672E0
4.746301960E-1,1.755472720E-1,-3.297142684E-1,1.078023672E0
4.912968620E-1,-2.522871494E-1,-6.143772602E-1,1.755854487E0
5.079635280E-1,-2.522871494E-1,-6.143772602E-1,1.755854487E0
5.246301940E-1,-2.268599123E-1,-3.926333487E-1,1.726303816E0
5.412968600E-1,-2.777144015E-1,-3.325395286E-1,1.635514140E0
5.579635260E-1,-2.777144015E-1,-3.325395286E-1,1.635514140E0
5.746301920E-1,-2.777144015E-1,-3.325395286E-1,1.635514140E0
5.912968580E-1,-2.777144015E-1,-3.325395286E-1,1.635514140E0
6.079635240E-1,-2.777144015E-1,-3.325395286E-1,1.635514140E0
6.246301900E-1,-6.291907281E-2,-5.392408967E-1,1.215620875E0
6.412968560E-1,1.649334840E-2,-5.976548195E-1,1.157207012E0
6.579635220E-1,1.649334840E-2,-5.976548195E-1,1.157207012E0
6.746301880E-1,1.649334840E-2,-5.976548195E-1,1.157207012E0
6.912968540E-1,1.649334840E-2,-5.976548195E-1,1.157207012E0
7.079635200E-1,1.649334840E-2,-5.976548195E-1,1.157207012E0
7.246301860E-1,1.649334840E-2,-5.976548195E-1,1.157207012E0
7.412968520E-1,5.684860349E-1,-9.824996591E-1,5.164098144E-1
7.579635180E-1,1.625740290E0,-5.960513353E-1,1.689499259E0
7.746301840E-1,4.418843091E-1,-9.589049816E-1,2.931387424E0
7.912968500E-1,-1.854738146E-1,-1.156825185E0,3.057225466E0
8.079635160E-1,-1.769217104E-1,-2.027307510E0,2.729801893E0
8.246301820E-1,-1.408806890E-1,-2.104276419E0,2.396880627E0
8.412968480E-1,-2.129627317E-1,-1.987601280E0,1.874591351E0
8.579635140E-1,-5.141190886E-1,-1.316260934E0,1.778074622E0
8.746301800E-1,-1.026634574E0,-8.452841640E-1,2.218508244E0
8.912968460E-1,-1.369940639E0,-1.093295217E0,2.850753307E0
9.079635120E-1,-1.818926215E0,-1.349858403E0,4.053545952E0
9.246301780E-1,-2.157345295E0,-1.307708740E0,4.817737579E0
9.412968440E-1,-2.157345295E0,-1.307708740E0,4.817737579E0
9.579635100E-1,-2.747440815E0,-1.032819629E0,5.925235748E0
9.746301760E-1,-2.468275547E0,-6.919570565E-1,6.446914196E0
9.912968420E-1,-1.856189013E0,-1.847102404E0,6.701644897E0
1.007963508E0,-1.856189013E0,-1.847102404E0,6.701644897E0
1.024630174E0,-4.554760456E-1,-2.326020479E0,5.569712162E0
1.041296840E0,-4.554760456E-1,-2.326020479E0,5.569712162E0
1.057963506E0,7.748056054E-1,-1.246622324E0,3.096931696E0
1.074630172E0,7.748056054E-1,-1.246622324E0,3.096931696E0
1.091296838E0,9.623411298E-1,-8.575014472E-1,2.994306326E0
1.107963504E0,9.879974127E-1,-8.752164841E-1,3.390146732E0
1.124630170E0,7.399863005E-1,-1.130558014E0,3.380373001E0
1.141296836E0,1.272889525E-1,-1.932012558E0,3.114646912E0
1.157963502E0,-1.512653977E-1,-2.046244383E0,2.875187874E0
1.174630168E0,-3.626246154E-1,-1.614362955E0,2.465297461E0
1.191296834E0,-3.626246154E-1,-1.614362955E0,2.465297461E0
1.207963500E0,2.641226649E-1,-1.550069451E-1,2.712697744E0
1.224630166E0,5.707767606E-1,-1.513417512E-1,2.677878380E0
1.241296832E0,9.641736746E-1,-5.031998754E-1,2.406654596E0
1.257963498E0,9.641736746E-1,-5.031998754E-1,2.406654596E0
1.274630164E0,1.363679290E0,-1.040150046E0,2.176969290E0
1.291296830E0,1.543273449E0,8.743002415E-1,1.911243200E0
1.307963496E0,1.104061723E0,2.129627228E0,2.442695618E0
1.324630162E0,1.104061723E0,2.129627228E0,2.442695618E0
1.341296828E0,4.449386299E-1,2.096029758E0,2.869079113E0
1.357963494E0,3.826304376E-1,1.936594009E0,2.777449369E0
1.374630160E0,3.673588037E-1,2.581056356E0,2.805549145E0
1.391296826E0,5.212967396E-1,3.978104115E0,2.948491573E0
1.407963492E0,7.045561671E-1,4.577973366E0,3.036456108E0
1.424630158E0,7.045561671E-1,4.577973366E0,3.036456108E0
1.441296824E0,1.787008524E0,5.771603107E0,3.487274408E0
