"Time (s)","Pressure (hPa)"
1.514792230E-1,1.002441833E3
1.914791710E-1,1.002440369E3
2.314792760E-1,1.002440613E3
2.714795880E-1,1.002449890E3
3.114811510E-1,1.002466248E3
3.514672960E-1,1.002460632E3
3.914789630E-1,1.002454529E3
4.314789630E-1,1.002456238E3
4.714804730E-1,1.002461121E3
5.117456300E-1,1.002464294E3
5.514816710E-1,1.002467957E3
5.914792760E-1,1.002464783E3
6.314792760E-1,1.002472107E3
6.718120880E-1,1.002476990E3
7.114789630E-1,1.002509949E3
7.514764110E-1,1.002502136E3
7.914719840E-1,1.002486511E3
8.314733380E-1,1.002488953E3
8.714731300E-1,1.002517273E3
9.114729210E-1,1.002531921E3
9.514803690E-1,1.002537292E3
9.914732860E-1,1.002524109E3
1.031473182E0,1.002514099E3
1.071474380E0,1.002508728E3
1.111479223E0,1.002518005E3
1.151479744E0,1.002535583E3
1.191487713E0,1.002616394E3
1.231481671E0,1.002634460E3
1.271479171E0,1.002669373E3
1.311479223E0,1.002667664E3
1.351480526E0,1.002682556E3
1.391529953E0,1.002696960E3
1.431481515E0,1.002672791E3
1.471479223E0,1.002660828E3
1.511480734E0,1.002611511E3
1.551480786E0,1.002502869E3
1.591488859E0,1.002392761E3
1.631486098E0,1.002325378E3
1.671466932E0,1.002330750E3
1.711479223E0,1.002293884E3
1.751479171E0,1.002273376E3
1.791492192E0,1.002262390E3
1.831479223E0,1.002265320E3
1.871480473E0,1.002280212E3
1.911479276E0,1.002286316E3
1.951496203E0,1.002295593E3
1.991479223E0,1.002299011E3
2.031479276E0,1.002312439E3
2.071479015E0,1.002333923E3
2.111487244E0,1.002368103E3
2.151753026E0,1.002372009E3
2.191481515E0,1.002364685E3
2.231479536E0,1.002354919E3
2.271480473E0,1.002352966E3
2.311479276E0,1.002347107E3
2.351480005E0,1.002351990E3
2.391480057E0,1.002357605E3
2.431479223E0,1.002379578E3
2.471478963E0,1.002381287E3
2.511479015E0,1.002391785E3
2.551480526E0,1.002392517E3
2.591500005E0,1.002405945E3
2.631496151E0,1.002412048E3
2.671479015E0,1.002422302E3
2.711478963E0,1.002428894E3
2.751480473E0,1.002433044E3
2.791489640E0,1.002436462E3
2.831484276E0,1.002453796E3
2.871479171E0,1.002464539E3
2.911486776E0,1.002482849E3
2.951480421E0,1.002488220E3
2.991480994E0,1.002495789E3
3.031481567E0,1.002501160E3
3.071567661E0,1.002485291E3
3.111479223E0,1.002479431E3
3.151480421E0,1.002493835E3
3.191480526E0,1.002487732E3
3.231470526E0,1.002485291E3
3.271481046E0,1.002477966E3
3.311479484E0,1.002465027E3
3.351479015E0,1.002451111E3
3.391480734E0,1.002442810E3
3.431479588E0,1.002449646E3
3.471481776E0,1.002459412E3
3.511478911E0,1.002458191E3
3.551480994E0,1.002458923E3
3.591480213E0,1.002450867E3
3.631480213E0,1.002457703E3
3.671469953E0,1.002454529E3
3.711495630E0,1.002452087E3
3.751479276E0,1.002450378E3
3.791479015E0,1.002457458E3
3.831478963E0,1.002468933E3
3.871480317E0,1.002475769E3
3.911481515E0,1.002473083E3
3.951466984E0,1.002474548E3
3.991479223E0,1.002479431E3
4.031480421E0,1.002485291E3
4.071479223E0,1.002476257E3
4.111740942E0,1.002478455E3
4.151495057E0,1.002477966E3
4.191479171E0,1.002478455E3
4.231479171E0,1.002483582E3
4.271495213E0,1.002481384E3
4.311478911E0,1.002483337E3
4.351480421E0,1.002484070E3
4.391663807E0,1.002476990E3
4.431468026E0,1.002475525E3
4.471511151E0,1.002489929E3
4.511479223E0,1.002510925E3
4.551478963E0,1.002500183E3
4.591479536E0,1.002482117E3
4.631475317E0,1.002471375E3
4.671482713E0,1.002475281E3
4.711495057E0,1.002472107E3
4.751479536E0,1.002468933E3
4.791478963E0,1.002467224E3
4.831475317E0,1.002470398E3
4.871486098E0,1.002482605E3
4.911495473E0,1.002488708E3
4.951479223E0,1.002506042E3
4.991480421E0,1.002522400E3
5.031480682E0,1.002539490E3
5.071480994E0,1.002538025E3
5.111484744E0,1.002538025E3
5.151497140E0,1.002542908E3
5.191498338E0,1.002539246E3
5.231479276E0,1.002520447E3
5.271479171E0,1.002483826E3
5.311655682E0,1.002456726E3
5.351480526E0,1.002423035E3
5.391479484E0,1.002403259E3
5.431479432E0,1.002396912E3
5.471479484E0,1.002393494E3
5.511481567E0,1.002397644E3
5.551484692E0,1.002403992E3
5.591480734E0,1.002413269E3
5.631479223E0,1.002420593E3
5.671479276E0,1.002432312E3
5.711479223E0,1.002442810E3
5.751546932E0,1.002447449E3
5.791481151E0,1.002451843E3
5.831479276E0,1.002450867E3
5.871479223E0,1.002440613E3
5.911480473E0,1.002440125E3
5.951480473E0,1.002453308E3
5.991480630E0,1.002467224E3
6.031466255E0,1.002468689E3
6.071479276E0,1.002465271E3
6.111479223E0,1.002455750E3
6.151479796E0,1.002487488E3
6.191487817E0,1.002513855E3
6.231480942E0,1.002516541E3
6.271479015E0,1.002569031E3
6.311480526E0,1.002560242E3
6.351479223E0,1.002532166E3
6.391479796E0,1.002523621E3
6.431498182E0,1.002500916E3
6.471480317E0,1.002490906E3
6.511479276E0,1.002486267E3
6.551479171E0,1.002473328E3
6.591480265E0,1.002472107E3
6.631481567E0,1.002474304E3
6.671481307E0,1.002469666E3
6.711479223E0,1.002475525E3
6.751479171E0,1.002481140E3
6.791479276E0,1.002472839E3
6.831467348E0,1.002474548E3
6.871486463E0,1.002470642E3
6.911479223E0,1.002505066E3
6.951479223E0,1.002601990E3
6.991479223E0,1.002659607E3
7.031480578E0,1.002671814E3
7.071487244E0,1.002680603E3
7.111496151E0,1.002682068E3
7.151479223E0,1.002678406E3
7.191479171E0,1.002647644E3
7.231479223E0,1.002626648E3
7.271755526E0,1.002616394E3
7.311628078E0,1.002624939E3
7.351478911E0,1.002632507E3
7.391478911E0,1.002639343E3
7.431479015E0,1.002636414E3
7.471478963E0,1.002611023E3
7.511482505E0,1.002584167E3
7.551489901E0,1.002555359E3
7.591479171E0,1.002532410E3
7.631479223E0,1.002535828E3
7.671484432E0,1.002517517E3
7.711675526E0,1.002469666E3
