"property","value"
"version","1.2.0"
"build","1020009"
"fileFormat","1.19"
"deviceModel","SM-S901E"
"deviceBrand","samsung"
"deviceBoard","taro"
"deviceManufacturer","samsung"
"deviceBaseOS","samsung/r0qxxx/r0q:16/BP2A.250605.031.A3/S901EXXUCGYJ1:user/release-keys"
"deviceCodename","REL"
"deviceRelease","16"
"depthFrontSensor","0"
"depthFrontResolution","null"
"depthFrontRate","null"
"depthBackSensor","0"
"depthBackResolution","null"
"depthBackRate","null"
"accelerometer Name","lsm6dso LSM6DSO Accelerometer Non-wakeup"
"accelerometer Vendor","STMicro"
"accelerometer Range","78.4532"
"accelerometer Resolution","0.0023928226"
"accelerometer MinDelay","2404"
"accelerometer MaxDelay","1000000"
"accelerometer Power","0.17"
"accelerometer Version","15933"
"linear_acceleration Name","gravity linear_acceleration Non-wakeup"
"linear_acceleration Vendor","QTI"
"linear_acceleration Range","156.91"
"linear_acceleration Resolution","0.01"
"linear_acceleration MinDelay","5000"
"linear_acceleration MaxDelay","200000"
"linear_acceleration Power","0.515"
"linear_acceleration Version","1"
"gravity Name","gravity  Non-wakeup"
"gravity Vendor","QTI"
"gravity Range","156.91"
"gravity Resolution","0.01"
"gravity MinDelay","5000"
"gravity MaxDelay","200000"
"gravity Power","0.515"
"gravity Version","1"
"gyroscope Name","lsm6dso LSM6DSO Gyroscope Non-wakeup"
"gyroscope Vendor","STMicro"
"gyroscope Range","17.453018"
"gyroscope Resolution","6.108648E-4"
"gyroscope MinDelay","2404"
"gyroscope MaxDelay","1000000"
"gyroscope Power","0.55"
"gyroscope Version","15933"
"magnetic_field Name","ak0991x AK09918 Magnetometer Non-wakeup"
"magnetic_field Vendor","akm"
"magnetic_field Range","4912.0503"
"magnetic_field Resolution","0.15"
"magnetic_field MinDelay","10000"
"magnetic_field MaxDelay","1000000"
"magnetic_field Power","1.1"
"magnetic_field Version","146988"
"pressure Name","lps22hh Pressure Sensor Non-wakeup"
"pressure Vendor","STMicro"
"pressure Range","1260.0"
"pressure Resolution","2.0E-4"
"pressure MinDelay","40000"
"pressure MaxDelay","1000000"
"pressure Power","0.012"
"pressure Version","133641"
"light Name","STK33915 Light Ambient Light Sensor Non-wakeup"
"light Vendor","sensortek"
"light Range","9999999.0"
"light Resolution","0.54"
"light MinDelay","0"
"light MaxDelay","0"
"light Power","0.09"
"light Version","2"
"proximity Name","Palm Proximity Sensor version 2"
"proximity Vendor","Samsung"
"proximity Range","5.0"
"proximity Resolution","1.0"
"proximity MinDelay","0"
"proximity MaxDelay","0"
"proximity Power","0.1"
"proximity Version","1000"
"temperature Name","null"
"temperature Vendor","null"
"temperature Range","null"
"temperature Resolution","null"
"temperature MinDelay","null"
"temperature MaxDelay","null"
"temperature Power","null"
"temperature Version","null"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","Rotation Vector  Non-wakeup"
"attitude Vendor","QTI"
"attitude Range","1.0"
"attitude Resolution","0.01"
"attitude MinDelay","5000"
"attitude MaxDelay","200000"
"attitude Power","1.415"
"attitude Version","1"
"custom Name","lsm6dso LSM6DSO Accelerometer Non-wakeup"
"custom Vendor","STMicro"
"custom Range","78.4532"
"custom Resolution","0.0023928226"
"custom MinDelay","2404"
"custom MaxDelay","1000000"
"custom Power","0.17"
"custom Version","15933"
