"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.426756700E-2,1.923829436E0,3.608376503E0,9.057730675E0
2.860944200E-2,2.004287958E0,3.518346548E0,9.185149193E0
4.527610800E-2,1.915753603E0,3.614059448E0,8.953044891E0
6.194277400E-2,1.781157374E0,3.657130241E0,8.337491035E0
7.860944000E-2,1.781157374E0,3.657130241E0,8.337491035E0
9.527610600E-2,1.781157374E0,3.657130241E0,8.337491035E0
1.119427720E-1,1.781157374E0,3.657130241E0,8.337491035E0
1.286094380E-1,1.568196177E0,3.925126553E0,8.148458481E0
1.452761040E-1,1.568196177E0,3.925126553E0,8.148458481E0
1.619427700E-1,1.568196177E0,3.925126553E0,8.148458481E0
1.786094360E-1,1.568196177E0,3.925126553E0,8.148458481E0
1.952761020E-1,1.951645970E0,3.060420275E0,9.457930565E0
2.119427680E-1,1.741077542E0,3.416053534E0,9.172586441E0
2.286094340E-1,1.501795292E0,3.755834341E0,8.564809799E0
2.452761000E-1,1.501795292E0,3.755834341E0,8.564809799E0
2.619427660E-1,1.501795292E0,3.755834341E0,8.564809799E0
2.786094320E-1,8.039883971E-1,2.553141832E0,9.764211655E0
2.952760980E-1,8.039883971E-1,2.553141832E0,9.764211655E0
3.119427640E-1,-1.627119333E-1,2.453540564E0,8.715557098E0
3.286094300E-1,-4.130610228E-1,2.360818624E0,7.901100159E0
3.452760960E-1,-4.130610228E-1,2.360818624E0,7.901100159E0
3.619427620E-1,-4.130610228E-1,2.360818624E0,7.901100159E0
3.786094280E-1,-4.130610228E-1,2.360818624E0,7.901100159E0
3.952760940E-1,1.506580949E0,3.305983543E0,9.226723671E0
4.119427600E-1,1.257129192E0,2.817847729E0,9.749855042E0
4.286094260E-1,1.185942769E0,2.589034081E0,9.740283966E0
4.452760920E-1,1.185942769E0,2.589034081E0,9.740283966E0
4.619427580E-1,1.185942769E0,2.589034081E0,9.740283966E0
4.786094240E-1,1.185942769E0,2.589034081E0,9.740283966E0
4.952760900E-1,1.185942769E0,2.589034081E0,9.740283966E0
5.119427560E-1,9.245268703E-1,2.502892494E0,1.012792110E1
5.286094220E-1,4.603192508E-1,2.233400822E0,9.556035995E0
5.452760880E-1,4.603192508E-1,2.233400822E0,9.556035995E0
5.619427540E-1,1.334297776E0,1.627119422E0,1.138594723E1
5.786094200E-1,1.334297776E0,1.627119422E0,1.138594723E1
5.952760860E-1,3.595515013E0,2.148754835E0,6.320940018E0
6.119427520E-1,3.595515013E0,2.148754835E0,6.320940018E0
6.286094180E-1,8.086843491E0,4.410869598E0,8.135597229E0
6.452760840E-1,2.530709028E0,1.793719649E0,8.382058144E0
6.619427500E-1,2.530709028E0,1.793719649E0,8.382058144E0
6.786094160E-1,2.530709028E0,1.793719649E0,8.382058144E0
6.952760820E-1,2.530709028E0,1.793719649E0,8.382058144E0
7.119427480E-1,2.530709028E0,1.793719649E0,8.382058144E0
7.286094140E-1,3.716053486E0,1.331904888E0,1.079162979E1
7.452760800E-1,2.605783939E0,1.557727575E0,9.914361954E0
7.619427460E-1,2.605783939E0,1.557727575E0,9.914361954E0
7.786094120E-1,2.605783939E0,1.557727575E0,9.914361954E0
7.952760780E-1,2.605783939E0,1.557727575E0,9.914361954E0
8.119427440E-1,2.605783939E0,1.557727575E0,9.914361954E0
8.286094100E-1,2.605783939E0,1.557727575E0,9.914361954E0
8.452760760E-1,3.669692516E0,5.958128572E-1,9.623932838E0
