"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.089141290E-1,2.815934774E-1,1.529898345E-1,1.850567609E-1,9.290065765E-1,1.472893371E2,2.592171207E1,-1.037183174E1,1.438813235E2
1.255800670E-1,2.631579231E-1,1.401891112E-1,1.811758429E-1,9.371607304E-1,1.494849500E2,2.478928148E1,-9.636901337E0,1.465075252E2
1.422460040E-1,2.657200787E-1,1.341387480E-1,1.740058959E-1,9.386807680E-1,1.491805112E2,2.377273018E1,-9.169355954E0,1.464547219E2
1.589119420E-1,2.672829941E-1,1.288613975E-1,1.681540012E-1,9.400418997E-1,1.489946941E2,2.292824908E1,-8.764923624E0,1.464749575E2
1.755778790E-1,2.722871558E-1,1.271679252E-1,1.608424336E-1,9.401158094E-1,1.483991772E2,2.208702830E1,-8.714704046E0,1.459906391E2
1.922438170E-1,2.771491157E-1,1.268511564E-1,1.557903290E-1,9.395884871E-1,1.478197431E2,2.155169217E1,-8.744091822E0,1.454638654E2
2.089097540E-1,2.777186381E-1,1.239821166E-1,1.566795409E-1,9.396554232E-1,1.477518140E2,2.154597685E1,-8.393759509E0,1.454696674E2
2.255756920E-1,2.759430799E-1,1.209152192E-1,1.581245661E-1,9.403358698E-1,1.479635531E2,2.157633891E1,-8.055662589E0,1.457537597E2
2.422416290E-1,2.723134005E-1,1.165783256E-1,1.567245275E-1,9.421742558E-1,1.483960517E2,2.122900637E1,-7.719174375E0,1.463098599E2
2.589075670E-1,2.697255502E-1,1.097189412E-1,1.517765522E-1,9.445495009E-1,1.487041277E2,2.040543198E1,-7.203504386E0,1.468274325E2
2.755735040E-1,2.649546232E-1,1.036791354E-1,1.481276006E-1,9.471578002E-1,1.492714870E2,1.974885496E1,-6.771314477E0,1.475635054E2
2.922394420E-1,2.601250376E-1,9.724307060E-2,1.472981125E-1,9.493060708E-1,1.498450369E2,1.940209177E1,-6.199750145E0,1.482914916E2
3.089053790E-1,2.541315279E-1,9.043534845E-2,1.478690952E-1,9.515110850E-1,1.505557396E2,1.920277262E1,-5.563223660E0,1.491509252E2
3.255713170E-1,2.454576545E-1,8.466920257E-2,1.478996873E-1,9.543098807E-1,1.515822374E2,1.897404539E1,-5.105798145E0,1.502975029E2
3.422372540E-1,2.355825437E-1,8.196751028E-2,1.465238482E-1,9.572423697E-1,1.527480716E2,1.868576590E1,-5.042152866E0,1.515178484E2
3.589031920E-1,2.292139036E-1,8.280684054E-2,1.439586729E-1,9.591037035E-1,1.534984092E2,1.838896101E1,-5.327358775E0,1.522553288E2
3.755691290E-1,2.221323719E-1,8.471221477E-2,1.405383646E-1,9.611087441E-1,1.543313832E2,1.801964023E1,-5.762150589E0,1.530581037E2
